class,group,reference_support,target_support,accepted_updates,static_f1,best_capspp_f1,delta_f1,static_recall,best_capspp_recall,delta_recall
96,other,55119,44573,3614,0.692832374347445,0.21455807865232485,-0.4782742956951202,0.6118726583357638,0.12687052700065063,-0.48500213133511316
97,other,41580,18214,2589,0.7774216721003481,0.3085955416934226,-0.46882613040692545,0.7724278027890633,0.18469309322499178,-0.5877347095640715
98,stable,63298,48912,43185,0.9950280312640668,0.9492176600631023,-0.04581037120096454,0.9942549885508669,0.9041748446189074,-0.09008014393195951
99,stable,23955,18452,14137,0.8910004668662291,0.8691112264525387,-0.021889240413690447,0.8791458920442229,0.7713526988944288,-0.10779319314979408
100,other,30504,17278,4438,0.7223809246196,0.4547976573164825,-0.26758326730311754,0.7171547632827874,0.2988771848593587,-0.41827757842342866
101,other,60629,42403,327,0.7117749402848633,0.0743244776187127,-0.6374504626661506,0.5692285923165814,0.03862934226351909,-0.5305992500530623
102,other,79891,35717,729,0.8913159504810008,0.07067252013251098,-0.8206434303484897,0.9585071534563373,0.03673320827617101,-0.9217739451801663
103,other,1787,1446,2,0.43172147001934236,0.020435967302452316,-0.41128550271689,0.38589211618257263,0.01037344398340249,-0.3755186721991701
104,bad,3363,1744,1,0.016456921587608905,0.0,-0.016456921587608905,0.00974770642201835,0.0,-0.00974770642201835
105,other,4895,3159,331,0.3440140283755779,0.14013879561226775,-0.20387523276331013,0.34156378600823045,0.09908198797087686,-0.2424817980373536
106,other,3993,1622,9,0.9295261239368166,0.05165165165165165,-0.8778744722851649,0.9432799013563502,0.02651048088779285,-0.9167694204685574
107,stable,3873,2555,1010,0.9622496147919877,0.6373567812416733,-0.3248928335503144,0.9776908023483366,0.4681017612524462,-0.5095890410958904
108,other,11663,3529,380,0.8786482334869432,0.29281108192022925,-0.585837151566714,0.8914706715783508,0.17370359875318786,-0.7177670728251629
109,bad,1867,393,0,0.0,0.0,0.0,0.0,0.0,0.0
110,other,9808,5670,160,0.8196861139542818,0.13459653707938582,-0.685089576874896,0.8474426807760141,0.07266313932980599,-0.7747795414462082
111,other,2817,1136,25,0.26626323751891073,0.09256449165402124,-0.17369874586488948,0.30985915492957744,0.05369718309859155,-0.2561619718309859
112,other,3822,1083,6,0.5887618100447538,0.10928013876843018,-0.47948167127632363,0.5466297322253001,0.05817174515235457,-0.4884579870729455
113,stable,5042,3574,1341,0.977462792345854,0.6519690974185038,-0.32549369492735014,0.9647453833240067,0.4840514829322888,-0.48069390039171794
114,other,3329,911,9,0.8335035750766088,0.032397408207343416,-0.8011061668692654,0.8957189901207464,0.01646542261251372,-0.8792535675082327
115,other,22978,15934,659,0.8206401218018734,0.16963064295485636,-0.6510094788470171,0.7780218400903728,0.0933852140077821,-0.6846366260825907
116,other,4023,3278,75,0.7903034412612308,0.10498990481684453,-0.6853135364443862,0.711104331909701,0.05552165954850519,-0.6555826723611958
117,other,84936,58860,452132,0.6539879219318951,0.13231436334101115,-0.521673558590884,0.7460584437648657,0.8642031940197078,0.11814475025484206
