class_id,reference_support,reference_recall,reference_f1,final_support,final_recall,final_f1,delta_final_recall_from_ref,delta_final_f1_from_ref,min_recall,first_collapse_period,first_collapse_recall,collapse_pattern,num_supported_periods,num_collapsed_periods,recall_slope_per_period,final_top_confusion_target,final_top_confusion_rate,first_collapse_top_confusion_target,first_collapse_top_confusion_rate
153,70973,0.9101348400095811,0.8922392657103589,59235,0.7830505613235418,0.810052304817457,-0.12708427868603933,-0.0821869608929019,0.7830505613235418,,,not_collapsed,9,0,-0.017160341598096717,133,0.021237444078669704,,
177,1540,0.9551948051948052,0.9542653259811872,1117,0.7833482542524619,0.5517023959646911,-0.17184655094234325,-0.4025629300164961,0.676056338028169,,,not_collapsed,9,0,-0.029283810478382136,14,0.1360787824529991,,
92,2288,0.9466783216783217,0.9626666666666667,896,0.7845982142857143,0.8409090909090909,-0.16208010739260736,-0.12175757575757573,0.7593728698023177,,,not_collapsed,9,0,-0.017914300938898793,65,0.08147321428571429,,
21,2620,0.9568702290076336,0.9250922509225092,2095,0.7871121718377089,0.828643216080402,-0.16975805716992476,-0.0964490348421072,0.7871121718377089,,,not_collapsed,9,0,-0.022990781376023346,117,0.04295942720763723,,
15,751,0.7496671105193076,0.8165337200870196,715,0.7874125874125875,0.8106551475881929,0.037745476893279895,-0.0058785724988267285,0.5719131614654003,,,not_collapsed,9,0,0.008533241378246808,153,0.027972027972027972,,
136,22342,0.919568525646764,0.8854458475197173,12861,0.7886634009797061,0.7803508232035697,-0.13090512466705784,-0.10509502431614759,0.7886634009797061,,,not_collapsed,9,0,-0.020835739841110246,93,0.0924500427649483,,
86,27759,0.8200223350985266,0.8425903647905831,20232,0.7919137999209174,0.8040145527537322,-0.02810853517760925,-0.0385758120368509,0.7188776416267093,,,not_collapsed,9,0,-0.00014081308302579286,61,0.10844207196520364,,
93,34812,0.8188842927726071,0.8569410208621415,18804,0.7950967879174644,0.7622616498419497,-0.023787504855142694,-0.09467937102019186,0.7563814951797733,,,not_collapsed,9,0,0.005375649220049204,136,0.06206126356094448,,
158,12544,0.9226721938775511,0.9237031125299282,5549,0.795458641196612,0.7169658084950865,-0.12721355268093903,-0.2067373040348417,0.782690018704302,,,not_collapsed,9,0,-0.017349208979651268,140,0.028473598846639032,,
146,4793,0.9801794283329857,0.9698596201486375,4680,0.7993589743589744,0.8806497175141242,-0.18082045397401125,-0.08920990263451323,0.7683189655172413,,,not_collapsed,9,0,-0.028870697973085314,169,0.07115384615384615,,
89,486,0.7674897119341564,0.7667009249743063,377,0.8010610079575596,0.7072599531615925,0.03357129602340325,-0.059440971812713794,0.7496296296296296,,,not_collapsed,9,0,0.00045577654420165403,61,0.04509283819628647,,
168,3924,0.7765035677879715,0.7627033792240301,4221,0.802653399668325,0.786809103576405,0.02614983188035358,0.024105724352374902,0.7765035677879715,,,not_collapsed,9,0,0.003061135644157327,110,0.07438995498696992,,
122,61426,0.8973398886465015,0.9009774755631109,40149,0.8031333283518892,0.824817424891606,-0.09420656029461227,-0.07616005067150489,0.8031333283518892,,,not_collapsed,9,0,-0.01255449785688022,117,0.10189543948790754,,
43,2042,0.7566111655239961,0.8244397011739595,1992,0.8032128514056225,0.7986024457199901,0.04660168588162639,-0.02583725545396942,0.7524407252440726,,,not_collapsed,9,0,0.008386458288477708,153,0.0391566265060241,,
49,40220,0.9309796121332671,0.9349780263683579,31563,0.8057218895542249,0.8421558075999669,-0.12525772257904222,-0.09282221876839103,0.8057218895542249,,,not_collapsed,9,0,-0.01905735717538969,78,0.060894084846180654,,
53,9775,0.9539641943734015,0.9474218948437897,5505,0.8163487738419618,0.8221734357848518,-0.1376154205314397,-0.1252484590589379,0.7950387248849478,,,not_collapsed,9,0,-0.01718726253804529,14,0.056857402361489555,,
157,2075,0.832289156626506,0.8102275392915786,800,0.81875,0.49772036474164133,-0.013539156626506066,-0.3125071745499373,0.6942321056289089,,,not_collapsed,9,0,-0.001371756498185243,38,0.01875,,
