period,class_id,support,precision,recall,f1,delta_recall_from_ref,delta_f1_from_ref,is_collapsed,top_confusion_target,top_confusion_count,top_confusion_rate
M-2022-7,15,538,0.8445297504798465,0.8178438661710037,0.8309726156751652,0.06817675565169612,0.014438895588145595,0,151,16,0.02973977695167286
M-2022-8,15,491,0.8293216630196937,0.7718940936863544,0.79957805907173,0.022226983167046854,-0.01695566101528967,0,151,22,0.04480651731160896
M-2022-9,15,529,0.8059701492537313,0.7145557655954632,0.7575150300601202,-0.03511134492384438,-0.05901869002689941,0,51,23,0.043478260869565216
M-2022-10,15,951,0.8444976076555024,0.7423764458464774,0.7901510912143257,-0.007290664672830127,-0.026382628872693936,0,93,29,0.030494216614090432
M-2022-11,15,848,0.7936117936117936,0.7617924528301887,0.7773766546329723,0.012125342310881138,-0.03915706545404729,0,153,31,0.036556603773584904
M-2022-12,15,715,0.8353115727002968,0.7874125874125875,0.8106551475881929,0.037745476893279895,-0.0058785724988267285,0,153,20,0.027972027972027972
M-2022-4,16,2008,0.7660818713450293,0.39143426294820716,0.5181278839815425,0.0,0.0,0,93,154,0.07669322709163347
M-2022-5,16,1958,0.7287066246056783,0.3539325842696629,0.47645238913716054,-0.03750167867854426,-0.04167549484438199,0,93,112,0.05720122574055159
M-2022-6,16,1419,0.5898305084745763,0.2452431289640592,0.3464410154305625,-0.14619113398414796,-0.17168686855098003,0,153,106,0.07470049330514447
M-2022-7,16,949,0.335149863760218,0.12961011591148577,0.18693009118541035,-0.2618241470367214,-0.33119779279613215,0,61,164,0.17281348788198103
M-2022-8,16,677,0.2581453634085213,0.15214180206794684,0.19144981412639406,-0.23929246088026032,-0.32667806985514847,0,61,91,0.1344165435745938
M-2022-9,16,1595,0.2956259426847662,0.12288401253918495,0.17360496014171833,-0.2685502504090222,-0.3445229238398242,0,176,250,0.15673981191222572
M-2022-10,16,2405,0.37068160597572364,0.16507276507276508,0.2284234752589183,-0.22636149787544207,-0.28970440872262426,0,61,409,0.17006237006237007
M-2022-11,16,2260,0.2750217580504787,0.13982300884955753,0.18539161044294514,-0.2516112540986496,-0.33273627353859736,0,61,312,0.13805309734513274
M-2022-12,16,1186,0.31203566121842496,0.17706576728499157,0.22592791823561054,-0.21436849566321559,-0.292199965745932,0,61,152,0.1281618887015177
M-2022-4,17,10007,0.941901776384535,0.9007694613770361,0.9208765387955253,0.0,0.0,0,156,93,0.009293494553812332
M-2022-5,17,9201,0.936278478084885,0.8799043582219324,0.9072164948453608,-0.020865103155103704,-0.013660043950164513,0,77,195,0.021193348549070755
M-2022-6,17,11760,0.9552393272962484,0.9418367346938775,0.9484906872190109,0.04106727331684146,0.02761414842348553,0,156,75,0.006377551020408163
M-2022-7,17,9274,0.9529867926814491,0.848069872762562,0.897472471044674,-0.0526995886144741,-0.023404067750851354,0,49,744,0.08022428294155703
M-2022-8,17,10142,0.9590689417102278,0.9587852494577006,0.9589270746018441,0.05801578808066454,0.038050535806318786,0,153,64,0.006310392427529087
