period,true_class,pred_class,rank_for_class,confusion_count,confusion_rate,delta_count_from_ref,delta_rate_from_ref
M-2022-5,26,89,3,16,0.006301693580149665,9.0,0.0032489242822866036
M-2022-5,26,117,4,16,0.006301693580149665,4.0,0.001068374783812988
M-2022-5,26,136,5,14,0.005513981882630957,-4.0,-0.0023359963118740577
M-2022-5,47,48,1,15,0.003983005841741901,-50.0,-0.012948486734449814
M-2022-5,47,96,2,10,0.0026553372278279343,-3.0,-0.0007309612874104089
M-2022-5,47,53,3,9,0.002389803505045141,2.0,0.000566411996839879
M-2022-5,47,28,4,6,0.0015932023366967605,-3.0,-0.0007511581738528618
M-2022-5,47,172,5,6,0.0015932023366967605,3.0,0.0008117488331802197
M-2022-5,48,47,1,12,0.0022896393817973667,5.0,0.0008899193258085645
M-2022-5,48,96,2,4,0.0007632131272657889,1.0,0.00016333310327058803
M-2022-5,48,149,3,3,0.0005724098454493417,-1.0,-0.00022743018654425957
M-2022-5,48,155,4,3,0.0005724098454493417,2.0,0.00037244983745094134
M-2022-5,48,83,5,2,0.00038160656363289447,0.0,-1.8313452363906153e-05
M-2022-6,7,5,1,24,0.8,21.0,0.7166666666666667
M-2022-6,7,14,2,1,0.03333333333333333,-3.0,-0.07777777777777778
M-2022-6,7,175,3,1,0.03333333333333333,1.0,0.03333333333333333
M-2022-6,26,112,1,1867,0.6003215434083601,1859.0,0.5968326642108023
M-2022-6,26,116,2,53,0.017041800643086816,52.0,0.016605690743392094
M-2022-6,26,136,3,31,0.009967845659163987,13.0,0.0021178674646589717
M-2022-6,26,155,4,29,0.00932475884244373,18.0,0.004527549945801776
M-2022-6,26,13,5,27,0.008681672025723473,-3.0,-0.0044016249651182195
M-2022-6,56,96,1,3869,0.5078094238088988,3841.0,0.5050354987048766
M-2022-6,56,165,2,1288,0.16905105656910355,1284.0,0.16865478155424324
M-2022-6,56,118,3,637,0.08360677254232839,622.0,0.08212074123660221
M-2022-6,56,14,4,413,0.05420658879117995,396.0,0.052522419978023614
M-2022-6,56,170,5,380,0.04987531172069826,380.0,0.04987531172069826
M-2022-6,50,122,1,656,0.42377260981912146,604.0,0.4123339824544052
M-2022-6,50,127,2,129,0.08333333333333333,125.0,0.08245343892066286
M-2022-6,50,138,3,80,0.05167958656330749,12.0,0.03672138154790934
M-2022-6,50,100,4,67,0.043281653746770024,66.0,0.043061680143602406
M-2022-6,50,12,5,26,0.016795865633074936,7.0,0.012616367172890159
M-2022-6,163,46,1,813,0.3899280575539568,523.0,0.2980395911407756
M-2022-6,163,26,2,250,0.11990407673860912,170.0,0.0945555342798005
M-2022-6,163,155,3,128,0.06139088729016787,66.0,0.04174576688459119
M-2022-6,163,61,4,73,0.03501199040767386,53.0,0.028674854792971705
M-2022-6,163,143,5,66,0.031654676258992806,11.0,0.014227553318561882
M-2022-6,69,110,1,240,0.292326431181486,231.0,0.28208752333165665
M-2022-6,69,104,2,12,0.014616321559074299,-16.0,-0.01723805841817257
M-2022-6,69,68,3,10,0.012180267965895249,10.0,0.012180267965895249
M-2022-6,69,112,4,7,0.008526187576126675,-1.0,-0.000575063845943859
M-2022-6,69,86,5,4,0.0048721071863581,0.0,0.0003214814753228325
M-2022-6,104,115,1,440,0.22110552763819097,39.0,0.10186675273483087
M-2022-6,104,116,2,146,0.07336683417085427,4.0,0.031142629591609544
M-2022-6,104,133,3,113,0.05678391959798995,4.0,0.024372382280119002
M-2022-6,104,149,4,106,0.053266331658291456,50.0,0.03661453266929354
M-2022-6,104,105,5,55,0.02763819095477387,15.0,0.015744048819775355
M-2022-6,121,14,1,154,0.08522412838959602,153.0,0.08483089205455865
M-2022-6,121,119,2,109,0.06032097399003874,54.0,0.03869297556298408
M-2022-6,121,120,3,87,0.04814609850581074,73.0,0.04264078981528773
M-2022-6,121,51,4,42,0.02324294410625346,42.0,0.02324294410625346
M-2022-6,121,115,5,40,0.02213613724405091,40.0,0.02213613724405091
M-2022-6,38,126,1,7,0.07692307692307693,2.0,0.011988011988011998
