period,class,group,reference_support,target_support,accepted_updates,accepted_rate,static_f1,caps_f1,delta_f1,static_recall,caps_recall,delta_recall
M-2022-7,138,other,43631,28132,4461,0.15857386606000284,0.7621375490331356,0.8276020525388681,0.06546450350573252,0.6871889663017204,0.7682354613962747,0.0810464950945543
M-2022-7,139,bad,2846,1011,66,0.06528189910979229,0.2878138395590937,0.2769981696156193,-0.010815669943474382,0.2324431256181998,0.22453016815034618,-0.007912957467853615
M-2022-7,140,other,71932,13811,2816,0.2038954456592571,0.7411167512690355,0.7415345337274926,0.00041778245845702777,0.8034175657084932,0.7991456085728766,-0.004271957135616566
M-2022-7,141,other,2022,1364,311,0.2280058651026393,0.6191872643485546,0.635408245755861,0.016220981407306323,0.5417888563049853,0.5762463343108505,0.03445747800586518
M-2022-7,142,other,62604,23002,3087,0.13420572124163116,0.8094780373309489,0.8080135059088351,-0.0014645314221137795,0.7871489435701243,0.780279975654291,-0.006868967915833357
M-2022-7,143,other,4384,2408,659,0.27367109634551495,0.6422987534333404,0.6435664483414325,0.0012676949080920874,0.6312292358803987,0.6324750830564784,0.001245847176079673
M-2022-7,144,stable,3642,3002,2553,0.8504330446369087,0.960551248923342,0.9605376529381354,-1.3595985206560357e-05,0.9287141905396402,0.9283810792804796,-0.00033311125916057893
M-2022-7,145,stable,2224,1697,1690,0.995875073659399,0.995579133510168,0.995579133510168,0.0,0.9952857984678845,0.9952857984678845,0.0
M-2022-7,146,other,4793,4786,3286,0.6865858754701212,0.9117052347787015,0.9205748022724741,0.008869567493772657,0.8478896782281655,0.8633514417049728,0.015461763476807278
M-2022-7,147,other,2203,55,10,0.18181818181818182,0.24358974358974358,0.23121387283236994,-0.012375870757373647,0.34545454545454546,0.36363636363636365,0.018181818181818188
M-2022-7,148,other,6812,4632,2808,0.6062176165803109,0.8939460892620416,0.8954334877564527,0.0014873984944111518,0.8734887737478411,0.8762953367875648,0.0028065630397237085
M-2022-7,149,other,74194,32883,3553,0.10804975215156767,0.7470189858763603,0.7467687325187693,-0.00025025335759099043,0.7849344646169754,0.7713408144025788,-0.013593650214396513
M-2022-7,150,other,2305,1436,521,0.3628133704735376,0.7322142286171063,0.7453125,0.013098271382893767,0.637883008356546,0.6643454038997214,0.02646239554317542
M-2022-7,151,other,2021,1469,449,0.3056501021102791,0.8,0.7932118164676304,-0.0067881835323696516,0.8563648740639891,0.8590878148400273,0.002722940776038185
M-2022-7,152,other,1673,336,221,0.6577380952380952,0.9394812680115274,0.9377713458755427,-0.0017099221359847538,0.9702380952380952,0.9642857142857143,-0.005952380952380931
M-2022-7,153,other,70973,39925,7136,0.17873512836568567,0.8277842115421733,0.8208168163799687,-0.0069673951622045704,0.8593613024420789,0.8479649342517219,-0.011396368190356942
M-2022-7,154,other,2978,1219,95,0.07793273174733388,0.5534167468719923,0.5578747628083491,0.004458015936356863,0.4716981132075472,0.48236259228876127,0.010664479081214095
