period,true_class,pred_class,rank_for_bad_class,support,static_rate,caps_rate,delta_rate,static_count,caps_count,delta_count
M-2022-10,48,5,4,2986,0.0006697923643670462,0.0006697923643670462,0.0,2,2,0
M-2022-10,48,151,5,2986,0.0006697923643670462,0.0003348961821835231,-0.0003348961821835231,2,1,-1
M-2022-10,56,96,1,10706,0.38034746870913505,0.3807210909770222,0.0003736222678871748,4072,4076,4
M-2022-10,56,165,2,10706,0.3631608443863254,0.37053988417709693,0.0073790397907715355,3888,3967,79
M-2022-10,56,14,3,10706,0.07509807584532038,0.07556510368017934,0.0004670278348589546,804,809,5
M-2022-10,56,170,4,10706,0.055856529049131326,0.05109284513356996,-0.0047636839155613675,598,547,-51
M-2022-10,56,90,5,10706,0.02960956473005791,0.0308238371006912,0.0012142723706332903,317,330,13
M-2022-10,66,142,1,4226,0.0664931377188831,0.06720302886890676,0.0007098911500236643,281,284,3
M-2022-10,66,49,2,4226,0.038570752484619025,0.038570752484619025,0.0,163,163,0
M-2022-10,66,108,3,4226,0.03170847136772362,0.03170847136772362,0.0,134,134,0
M-2022-10,66,139,4,4226,0.030052058684335067,0.026502602934216753,-0.0035494557501183147,127,112,-15
M-2022-10,66,133,5,4226,0.022716516800757217,0.022006625650733556,-0.0007098911500236608,96,93,-3
M-2022-10,69,105,1,1232,0.5170454545454546,0.5113636363636364,-0.005681818181818232,637,630,-7
M-2022-10,69,39,2,1232,0.1185064935064935,0.10795454545454546,-0.010551948051948049,146,133,-13
M-2022-10,69,125,3,1232,0.10064935064935066,0.11607142857142858,0.01542207792207792,124,143,19
M-2022-10,69,60,4,1232,0.05032467532467533,0.04788961038961039,-0.002435064935064936,62,59,-3
M-2022-10,69,63,5,1232,0.033279220779220776,0.044642857142857144,0.011363636363636367,41,55,14
M-2022-10,104,2,1,2391,0.21288163948138855,0.2864910079464659,0.07360936846507737,509,685,176
M-2022-10,104,133,2,2391,0.18193224592220827,0.17607695524884986,-0.00585529067335841,435,421,-14
M-2022-10,104,19,3,2391,0.16269343370974487,0.191969887076537,0.029276453366792132,389,459,70
M-2022-10,104,117,4,2391,0.1342534504391468,0.04893350062735257,-0.08531994981179422,321,117,-204
M-2022-10,104,34,5,2391,0.04684232538686742,0.05186114596403179,0.005018820577164372,112,124,12
M-2022-10,109,65,1,1824,0.03234649122807018,0.03234649122807018,0.0,59,59,0
M-2022-10,109,107,2,1824,0.01918859649122807,0.019736842105263157,0.000548245614035086,35,36,1
M-2022-10,109,140,3,1824,0.013157894736842105,0.015899122807017545,0.00274122807017544,24,29,5
M-2022-10,109,142,4,1824,0.007675438596491228,0.004934210526315789,-0.0027412280701754384,14,9,-5
M-2022-10,109,106,5,1824,0.003837719298245614,0.005482456140350877,0.001644736842105263,7,10,3
M-2022-10,118,90,1,2917,0.013712718546451834,0.011655810764484058,-0.0020569077819677754,40,34,-6
M-2022-10,118,25,2,2917,0.0047994514912581415,0.004456633527596846,-0.00034281796366129533,14,13,-1
M-2022-10,118,175,3,2917,0.0047994514912581415,0.0034281796366129585,-0.001371271854645183,14,10,-4
M-2022-10,118,129,4,2917,0.00411381556393555,0.005142269454919438,0.0010284538909838877,12,15,3
M-2022-10,118,96,5,2917,0.0017140898183064792,0.0017140898183064792,0.0,5,5,0
M-2022-10,139,133,1,1906,0.17733473242392445,0.17156348373557187,-0.005771248688352576,338,327,-11
M-2022-10,139,61,2,1906,0.11070304302203568,0.12014690451206715,0.009443861490031472,211,229,18
M-2022-10,139,32,3,1906,0.10178384050367262,0.09496327387198321,-0.006820566631689409,194,181,-13
M-2022-10,139,153,4,1906,0.03672612801678909,0.03252885624344176,-0.004197271773347326,70,62,-8
M-2022-10,139,156,5,1906,0.02938090241343127,0.026232948583420776,-0.003147953830010493,56,50,-6
M-2022-10,164,117,1,2237,0.11399195350916407,0.1166741171211444,0.002682163611980329,255,261,6
M-2022-10,164,138,2,2237,0.11399195350916407,0.08404112650871703,-0.02995082700044703,255,188,-67
M-2022-10,164,149,3,2237,0.0809119356280733,0.0773357174787662,-0.0035762181493071005,181,173,-8
M-2022-10,164,124,4,2237,0.03218596334376397,0.03263299061242736,0.00044702726866339276,72,73,1
M-2022-10,164,83,5,2237,0.013410818059901655,0.012963790791238265,-0.0004470272686633893,30,29,-1
M-2022-10,174,2,1,2702,0.45965951147298295,0.500740192450037,0.04108068097705403,1242,1353,111
M-2022-10,174,93,2,2702,0.10510732790525537,0.07216876387860843,-0.03293856402664694,284,195,-89
M-2022-10,174,28,3,2702,0.09659511472982976,0.10843819393042191,0.011843079200592146,261,293,32
M-2022-10,174,133,4,2702,0.08290155440414508,0.07994078460399703,-0.002960769800148047,224,216,-8
M-2022-10,174,117,5,2702,0.06772760917838638,0.0540340488527017,-0.013693560325684681,183,146,-37
M-2022-12,5,14,1,1080,0.0962962962962963,0.06574074074074074,-0.030555555555555558,104,71,-33
M-2022-12,5,6,2,1080,0.05462962962962963,0.05185185185185185,-0.002777777777777782,59,56,-3
M-2022-12,5,124,3,1080,0.049074074074074076,0.04722222222222222,-0.0018518518518518545,53,51,-2
M-2022-12,5,151,4,1080,0.027777777777777776,0.011111111111111112,-0.016666666666666663,30,12,-18
M-2022-12,5,83,5,1080,0.018518518518518517,0.019444444444444445,0.0009259259259259273,20,21,1
