method,alpha,tau_conf,momentum,accepted_rate,num_updated_classes,overall_accuracy,overall_macro_f1,bad_accuracy,bad_macro_f1,bad_support,stable_accuracy,stable_macro_f1,stable_support
caps_target_proto,1.0,0.9,0.999,0.3800974736799148,176,0.7532785330430334,0.6296679279194914,0.16527648403759845,0.15539121030183922,47236,0.9418056210637294,0.9033624743084812,144172
caps_target_proto,1.0,0.95,0.9,0.3309495181861945,174,0.7540478632194427,0.6305950151045553,0.16553052756372258,0.1559386182786626,47236,0.9423605138307022,0.9029428008340442,144172
caps_target_proto,1.0,0.95,0.99,0.34542698202654265,176,0.7531893572465537,0.630043297824916,0.16597510373443983,0.15559886904660625,47236,0.9419651527342341,0.9029054578002924,144172
caps_target_proto,1.0,0.95,0.999,0.3510178510295648,174,0.7531825557027544,0.629618056344943,0.1652976543314421,0.15533763420800212,47236,0.9417986849041423,0.9033859024616516,144172
caps_target_proto,2.0,0.7,0.9,0.40018394397341656,177,0.7543327723319244,0.6316616699387835,0.1656152087390973,0.15915231210832348,47236,0.943130427544877,0.9022708473682016,144172
caps_target_proto,2.0,0.7,0.99,0.41775308733408956,178,0.7538740459890163,0.6309113146983752,0.1675840460665594,0.15759921297777044,47236,0.9425477901395556,0.9022624195824165,144172
caps_target_proto,2.0,0.7,0.999,0.42999359899155776,178,0.7540803594842616,0.6304027066619656,0.16684308578203066,0.15631206143835324,47236,0.9422980883944178,0.9032278698046035,144172
caps_target_proto,2.0,0.8,0.9,0.3830773055910957,177,0.7551141941417547,0.6323219816872756,0.1662079769667203,0.15959833611851545,47236,0.9432344699386843,0.9022012779708785,144172
caps_target_proto,2.0,0.8,0.99,0.40122911453724186,178,0.7538264351824212,0.6310065687033666,0.1676898975357778,0.15732251556271368,47236,0.942568598618317,0.902216726874407,144172
caps_target_proto,2.0,0.8,0.999,0.4116135604645908,178,0.7540010081399364,0.6303163505810896,0.1668007451943433,0.15619987249229877,47236,0.9422772799156564,0.9031689628103182,144172
caps_target_proto,2.0,0.9,0.9,0.36022638560672415,176,0.7550439115224954,0.6320379144820272,0.16644085019900076,0.15747219026900972,47236,0.9427836195655189,0.9027877078143727,144172
caps_target_proto,2.0,0.9,0.99,0.3719084149455612,176,0.7537720228320268,0.6309689985988702,0.16771106782962147,0.15722768832265546,47236,0.9425408539799683,0.9024691759690526,144172
caps_target_proto,2.0,0.9,0.999,0.3800974736799148,176,0.7539057865267463,0.6302138732261174,0.1667795749004996,0.15612192977757927,47236,0.9422703437560691,0.9032335000722655,144172
caps_target_proto,2.0,0.95,0.9,0.3309495181861945,174,0.7549381097300618,0.6314592638079201,0.16686425607587432,0.15716335355323707,47236,0.9434772355242349,0.9027245042790124,144172
caps_target_proto,2.0,0.95,0.99,0.34542698202654265,176,0.75357931242438,0.6309036879964892,0.16756287577271572,0.1568103143398253,47236,0.9425894070970785,0.902570148537678,144172
