class,group,reference_support,target_support,accepted_updates,static_f1,best_caps_f1,delta_f1,static_recall,best_caps_recall,delta_recall
81,other,7217,2122,1667,0.9364595545134818,0.9264048906654127,-0.01005466384806919,0.9410933081998115,0.9283694627709708,-0.012723845428840752
82,other,79609,27579,5577,0.7796960806439479,0.7576848518415952,-0.022011228802352734,0.7516226114072302,0.6944414228217122,-0.05718118858551802
83,other,24502,19531,8729,0.91312422616591,0.912751677852349,-0.00037254831356103857,0.9062516000204802,0.9261174543034151,0.01986585428293486
84,other,2397,1057,794,0.8721951219512195,0.8654580152671756,-0.006737106684043925,0.8457899716177862,0.8580889309366131,0.012298959318826852
85,other,2080,350,184,0.7124087591240876,0.6939890710382514,-0.018419688085836272,0.6971428571428572,0.7257142857142858,0.02857142857142858
86,other,27759,20232,5680,0.8040145527537322,0.7835401421147523,-0.020474410638979923,0.7919137999209174,0.730328192961645,-0.0615856069592724
87,other,11231,5056,3727,0.9071502786436195,0.9063444108761329,-0.00080586776748659,0.9497626582278481,0.9493670886075949,-0.0003955696202532222
88,other,204,83,6,0.21052631578947367,0.19956616052060738,-0.01096015526886629,0.5301204819277109,0.5542168674698795,0.02409638554216864
89,other,486,377,170,0.7072599531615925,0.7092511013215859,0.00199114815999335,0.8010610079575596,0.8541114058355438,0.05305039787798416
90,other,7635,4080,2613,0.8953821473587716,0.8931228861330327,-0.00225926122573894,0.9575980392156863,0.9708333333333333,0.013235294117647012
91,other,4262,2334,1535,0.8252314814814815,0.8134132633945298,-0.011818218086951715,0.916452442159383,0.9301628106255355,0.013710368466152478
92,other,2288,896,645,0.8409090909090909,0.8227114716106605,-0.018197619298430445,0.7845982142857143,0.7924107142857143,0.0078125
93,other,34812,18804,9601,0.7622616498419497,0.7645277653440059,0.002266115502056243,0.7950967879174644,0.7720697723888534,-0.023027015528610972
94,stable,633,760,264,0.6138032305433186,0.6331727460426704,0.01936951549935173,0.55,0.6052631578947368,0.05526315789473679
95,other,50223,3282,2923,0.9211843799170362,0.9042285074208906,-0.016955872496145608,0.9811090798293723,0.9838513101767216,0.002742230347349217
96,other,55119,44573,20128,0.692832374347445,0.7114945632164159,0.018662188868970864,0.6118726583357638,0.6503264307989142,0.038453772463150404
97,other,41580,18214,9013,0.7774216721003481,0.7659324522760647,-0.011489219824283414,0.7724278027890633,0.7875260788404524,0.015098276051389137
98,stable,63298,48912,46676,0.9950280312640668,0.9946990511403679,-0.0003289801236988632,0.9942549885508669,0.9955430160287864,0.0012880274779194512
99,stable,23955,18452,7870,0.8910004668662291,0.8733392382639504,-0.0176612286022787,0.8791458920442229,0.8816930414047258,0.0025471493605029316
100,other,30504,17278,8247,0.7223809246196,0.7095216808225302,-0.01285924379706982,0.7171547632827874,0.688968630628545,-0.028186132654242413
101,other,60629,42403,9192,0.7117749402848633,0.8081251192065612,0.09635017892169784,0.5692285923165814,0.6994552272244888,0.13022663490790742
102,other,79891,35717,25033,0.8913159504810008,0.8806469531966568,-0.010668997284344006,0.9585071534563373,0.9543074726320799,-0.004199680824257368
103,other,1787,1446,278,0.43172147001934236,0.5536686959307914,0.12194722591144902,0.38589211618257263,0.5975103734439834,0.21161825726141076
104,bad,3363,1744,31,0.016456921587608905,0.015789473684210527,-0.0006674479033983785,0.00974770642201835,0.010321100917431193,0.0005733944954128441
105,other,4895,3159,253,0.3440140283755779,0.3230309072781655,-0.02098312109741235,0.34156378600823045,0.3076923076923077,-0.03387147831592274
106,other,3993,1622,1159,0.9295261239368166,0.9182389937106918,-0.011287130226124709,0.9432799013563502,0.9451294697903823,0.0018495684340320562
107,stable,3873,2555,2297,0.9622496147919877,0.9386994596608906,-0.02355015513109704,0.9776908023483366,0.9859099804305284,0.008219178082191747
108,other,11663,3529,1834,0.8786482334869432,0.890014064697609,0.011365831210665811,0.8914706715783508,0.8965712666477755,0.005100595069424729
109,bad,1867,393,4,0.0,0.0,0.0,0.0,0.0,0.0
110,other,9808,5670,2252,0.8196861139542818,0.813474025974026,-0.006212087980255854,0.8474426807760141,0.8837742504409171,0.03633156966490292
111,other,2817,1136,158,0.26626323751891073,0.25883922615076715,-0.007424011368143579,0.30985915492957744,0.3415492957746479,0.031690140845070436
112,other,3822,1083,209,0.5887618100447538,0.6274509803921569,0.038689170347403046,0.5466297322253001,0.605724838411819,0.05909510618651892
113,stable,5042,3574,3065,0.977462792345854,0.9781684150836405,0.0007056227377865154,0.9647453833240067,0.9653049804141018,0.0005595970900951208
114,other,3329,911,799,0.8335035750766088,0.8147410358565738,-0.018762539220035013,0.8957189901207464,0.897914379802415,0.002195389681668547
115,other,22978,15934,4526,0.8206401218018734,0.8097794069516266,-0.010860714850246755,0.7780218400903728,0.7763901092004518,-0.0016317308899209682
116,other,4023,3278,1099,0.7903034412612308,0.7838635618235487,-0.0064398794376820945,0.711104331909701,0.7291031116534472,0.017998779743746196
117,other,84936,58860,6943,0.6539879219318951,0.6888362607723176,0.03484833884042249,0.7460584437648657,0.7115868161739721,-0.034471627590893616
118,bad,3760,2577,1118,0.4359987838248708,0.43849779534742284,0.0024990115225520526,0.5564610011641443,0.5595653861078774,0.0031043849437331072
119,stable,2846,1033,570,0.8846153846153846,0.8854368932038835,0.0008215085884989426,0.8683446272991288,0.882865440464666,0.014520813165537216
120,other,2918,1133,320,0.8361683079677709,0.8158716005349977,-0.02029670743277312,0.824360105913504,0.8075904677846425,-0.016769638128861453
121,other,2543,16,11,0.0,0.0,0.0,0.0,0.0,0.0
122,other,61426,40149,15897,0.824817424891606,0.8267982539381287,0.0019808290465226364,0.8031333283518892,0.8137936187700815,0.010660290418192275
123,other,3393,1458,220,0.4490566037735849,0.48389982110912344,0.03484321733553852,0.32647462277091904,0.3710562414266118,0.04458161865569277
124,other,30492,18817,6531,0.8551867440993127,0.8486750164798945,-0.006511727619418206,0.8530052611999788,0.8552372854333847,0.0022320242334059603
125,other,3522,2268,1104,0.6736076681540242,0.654094132817537,-0.019513535336487142,0.8985890652557319,0.894620811287478,-0.003968253968253954
126,other,2112,2588,1543,0.8720262510254306,0.8622167789344765,-0.009809472090954174,0.821483771251932,0.8160741885625966,-0.005409582689335335
127,other,3002,4058,903,0.7258826800111203,0.7510683760683761,0.025185696057255735,0.6434204041399705,0.69295219319862,0.04953178905864952
128,stable,2342,3721,2318,0.9304743339831059,0.9283957011524019,-0.0020786328307039748,0.9621069604944907,0.9634506852996506,0.0013437248051598738
129,other,44177,18631,6502,0.6718027734976888,0.6687418290481231,-0.003060944449565728,0.5850464279963502,0.5765659384896141,-0.008480489506736077
130,stable,7092,4618,2290,0.8315680166147456,0.8326403326403327,0.0010723160255871056,0.8670420095279342,0.8672585534863577,0.0002165439584235207
131,stable,30533,17194,13471,0.906423586383706,0.9068730545974594,0.00044946821375335677,0.9253227870187275,0.9404443410492032,0.015121554030475659
132,stable,23157,13419,9402,0.9021133745326925,0.9009207822844533,-0.0011925922482391993,0.8811386839555854,0.8822565019748119,0.001117818019226502
133,other,54110,34000,14603,0.8244967750858091,0.8194237860133742,-0.005072989072434919,0.9643823529411765,0.9640882352941177,-0.0002941176470587781
