class,group,reference_support,target_support,static_f1,best_pair_f1,delta_f1,static_recall,best_pair_recall,delta_recall
92,other,2288,896,0.8409090909090909,0.8409090909090909,0.0,0.7845982142857143,0.7845982142857143,0.0
93,other,34812,18804,0.7622616498419497,0.7623199490121096,5.8299170159981095e-05,0.7950967879174644,0.7950967879174644,0.0
94,stable,633,760,0.6138032305433186,0.6142542248346804,0.0004509942913617504,0.55,0.55,0.0
95,other,50223,3282,0.9211843799170362,0.9213161659513591,0.000131786034322956,0.9811090798293723,0.9811090798293723,0.0
96,other,55119,44573,0.692832374347445,0.693080130160667,0.0002477558132220059,0.6118726583357638,0.611648307271218,-0.00022435106454576914
97,other,41580,18214,0.7774216721003481,0.777387892686431,-3.3779413917023327e-05,0.7724278027890633,0.7723728999670583,-5.490282200504293e-05
98,stable,63298,48912,0.9950280312640668,0.9950279295316432,-1.0173242359634571e-07,0.9942549885508669,0.994234543670265,-2.0444880601933058e-05
99,stable,23955,18452,0.8910004668662291,0.8910678971654581,6.743029922895438e-05,0.8791458920442229,0.8790916973769781,-5.419466724476685e-05
100,other,30504,17278,0.7223809246196,0.7223809246196,0.0,0.7171547632827874,0.7171547632827874,0.0
101,other,60629,42403,0.7117749402848633,0.7103678337367892,-0.0014071065480740774,0.5692285923165814,0.5674834327759828,-0.0017451595405986176
102,other,79891,35717,0.8913159504810008,0.8914351188771126,0.00011916839611181285,0.9585071534563373,0.9584231598398522,-8.399361648514514e-05
103,other,1787,1446,0.43172147001934236,0.43172147001934236,0.0,0.38589211618257263,0.38589211618257263,0.0
104,bad,3363,1744,0.016456921587608905,0.016299137104506232,-0.00015778448310267354,0.00974770642201835,0.00974770642201835,0.0
105,other,4895,3159,0.3440140283755779,0.3437051220679751,-0.00030890630760277427,0.34156378600823045,0.3409306742640076,-0.0006331117442228695
106,other,3993,1622,0.9295261239368166,0.9288753799392098,-0.0006507439976067841,0.9432799013563502,0.9420468557336621,-0.0012330456226881115
107,stable,3873,2555,0.9622496147919877,0.9622496147919877,0.0,0.9776908023483366,0.9776908023483366,0.0
108,other,11663,3529,0.8786482334869432,0.8786482334869432,0.0,0.8914706715783508,0.8914706715783508,0.0
109,bad,1867,393,0.0,0.0,0.0,0.0,0.0,0.0
110,other,9808,5670,0.8196861139542818,0.8198259682648013,0.0001398543105194383,0.8474426807760141,0.8474426807760141,0.0
111,other,2817,1136,0.26626323751891073,0.2664647993943982,0.00020156187548747706,0.30985915492957744,0.30985915492957744,0.0
112,other,3822,1083,0.5887618100447538,0.5887618100447538,0.0,0.5466297322253001,0.5466297322253001,0.0
113,stable,5042,3574,0.977462792345854,0.977462792345854,0.0,0.9647453833240067,0.9647453833240067,0.0
114,other,3329,911,0.8335035750766088,0.8343558282208589,0.0008522531442500814,0.8957189901207464,0.8957189901207464,0.0
115,other,22978,15934,0.8206401218018734,0.8207793927755521,0.00013927097367871788,0.7780218400903728,0.7778963223296096,-0.0001255177607631941
116,other,4023,3278,0.7903034412612308,0.7900271370420624,-0.0002763042191683551,0.711104331909701,0.7104942037827944,-0.0006101281269066394
117,other,84936,58860,0.6539879219318951,0.65425448693592,0.0002665650040248879,0.7460584437648657,0.745973496432212,-8.494733265373977e-05
118,bad,3760,2577,0.4359987838248708,0.434282253179891,-0.0017165306449797857,0.5564610011641443,0.5564610011641443,0.0
119,stable,2846,1033,0.8846153846153846,0.8846153846153846,0.0,0.8683446272991288,0.8683446272991288,0.0
120,other,2918,1133,0.8361683079677709,0.8365427675772503,0.00037445960947946055,0.824360105913504,0.824360105913504,0.0
121,other,2543,16,0.0,0.0,0.0,0.0,0.0,0.0
122,other,61426,40149,0.824817424891606,0.8248807254959645,6.330060435844054e-05,0.8031333283518892,0.8031333283518892,0.0
123,other,3393,1458,0.4490566037735849,0.4490566037735849,0.0,0.32647462277091904,0.32647462277091904,0.0
124,other,30492,18817,0.8551867440993127,0.8552095266004209,2.2782501108209452e-05,0.8530052611999788,0.8530052611999788,0.0
125,other,3522,2268,0.6736076681540242,0.6738303851876343,0.0002227170336100981,0.8985890652557319,0.8985890652557319,0.0
126,other,2112,2588,0.8720262510254306,0.8722051282051282,0.00017887717969755634,0.821483771251932,0.821483771251932,0.0
127,other,3002,4058,0.7258826800111203,0.7261855096648588,0.00030282965373851223,0.6434204041399705,0.6434204041399705,0.0
128,stable,2342,3721,0.9304743339831059,0.930595269040811,0.00012093505770516266,0.9621069604944907,0.9621069604944907,0.0
129,other,44177,18631,0.6718027734976888,0.6718668105441653,6.40370464765061e-05,0.5850464279963502,0.5848317320594708,-0.00021469593687939437
130,stable,7092,4618,0.8315680166147456,0.8316194037602576,5.1387145512005183e-05,0.8670420095279342,0.8668254655695106,-0.00021654395842363172
131,stable,30533,17194,0.906423586383706,0.906423586383706,0.0,0.9253227870187275,0.9253227870187275,0.0
132,stable,23157,13419,0.9021133745326925,0.902078962426092,-3.441210660048988e-05,0.8811386839555854,0.8811386839555854,0.0
133,other,54110,34000,0.8244967750858091,0.8246626677229915,0.00016589263718236325,0.9643823529411765,0.9643823529411765,0.0
134,other,10738,5543,0.9474777191312624,0.9475597092419522,8.199011068976692e-05,0.9877322749413675,0.9877322749413675,0.0
135,other,3069,1872,0.477059925093633,0.477059925093633,0.0,0.5443376068376068,0.5443376068376068,0.0
136,other,22342,12861,0.7803508232035697,0.7804108640455489,6.004084197919202e-05,0.7886634009797061,0.7886634009797061,0.0
137,other,4089,1286,0.5800631483987371,0.5800631483987371,0.0,0.5,0.5,0.0
138,other,43631,12776,0.6155363306288941,0.6159228526575465,0.00038652202865241403,0.5374139010644959,0.5374139010644959,0.0
139,bad,2846,973,0.16774193548387098,0.16666666666666666,-0.0010752688172043223,0.1736896197327852,0.1736896197327852,0.0
140,other,71932,21276,0.7487365493894329,0.7487122439602428,-2.4305429190074612e-05,0.7276743748824968,0.727580372250423,-9.400263207370863e-05
141,other,2022,1226,0.6573913043478261,0.6576889661164205,0.00029766176859435944,0.6166394779771615,0.6174551386623165,0.0008156606851550396
