prototype_period,split,class_id,absorber_class,pair_source,first_collapse_period,collapse_pattern,reference_recall,final_recall,final_f1,final_top_confusion_rate,first_collapse_top_confusion_rate,valid_pair,class_support,absorber_support,raw_l2_distance,cosine_similarity,cosine_distance,normalized_l2_distance,absorber_neighbor_rank,num_valid_neighbors,absorber_rank_percentile,nearest_class,nearest_cosine_distance,absorber_is_nearest,distance_z_vs_class_neighbors
M-2022-2,train,66,71,final,M-2022-11,abrupt,0.9201786754709652,0.0010230179028132991,0.001658374792703151,0.13861892583120206,0.35346142116498935,1,1198,9737,8.844306945800781,0.6201485991477966,0.37985140085220337,0.8716092705726624,116,176,0.6590909090909091,12,0.05073952674865723,0,0.40114072065986317
M-2022-2,train,10,156,final,M-2022-11,gradual,0.8128712871287128,0.09760956175298804,0.16184971098265896,0.3645418326693227,0.34739941118743867,1,1514,1460,6.229773044586182,0.834347128868103,0.16565287113189697,0.5755916833877563,16,176,0.09090909090909091,132,0.09077537059783936,0,-1.240304442141997
M-2022-2,train,7,5,final,M-2022-11,gradual,0.6666666666666666,0.21212121212121213,0.125,0.48484848484848486,0.7884615384615384,1,1469,903,10.312667846679688,0.5746515989303589,0.4253484010696411,0.9223322868347168,163,176,0.9261363636363636,150,0.11374545097351074,0,1.5007830838995657
M-2022-2,train,109,71,final,M-2022-12,abrupt,0.9480449919657205,0.0,0.0,0.24936386768447838,0.24936386768447838,1,6047,9737,8.833999633789062,0.6492637991905212,0.35073620080947876,0.837539553642273,95,176,0.5397727272727273,167,0.04289817810058594,0,0.021374066317108708
M-2022-2,train,26,13,final,M-2022-12,abrupt,0.8839947666812037,0.022304832713754646,0.024539877300613498,0.21561338289962825,0.21561338289962825,1,6446,5475,8.32440185546875,0.7750721573829651,0.2249278426170349,0.6707127690315247,29,176,0.16477272727272727,4,0.09144318103790283,0,-1.2912024907669153
M-2022-3,train,56,96,final,M-2022-5,abrupt,0.9524469982167625,0.00041196341764851283,0.0007871536523929471,0.25236878965147896,0.36252736940882074,1,7473,47075,10.570850372314453,0.6461721062660217,0.35382789373397827,0.8412228226661682,39,177,0.22033898305084745,114,0.16716575622558594,0,-0.6407903361571231
M-2022-3,train,163,46,final,M-2022-5,gradual,0.3659695817490494,0.015508328546812177,0.025738798856053385,0.41815048822515793,0.3468067906224737,1,2595,7958,5.163069725036621,0.8381911516189575,0.16180884838104248,0.5688741207122803,15,177,0.0847457627118644,123,0.10797691345214844,0,-1.4388067579457682
M-2022-3,train,174,2,final,M-2022-7,abrupt,0.9500706547338672,0.0,0.0,0.291970802919708,0.21649484536082475,1,3363,7334,7.2228217124938965,0.7299781441688538,0.27002185583114624,0.7348766922950745,14,177,0.07909604519774012,119,0.18662691116333008,0,-1.5452814045912184
M-2022-3,train,48,14,final,M-2022-7,abrupt,0.9944011197760448,0.0008925914906277894,0.0017709563164108619,0.389764950907468,0.4735437972432192,1,3794,8975,7.174750804901123,0.8065084218978882,0.19349157810211182,0.6220797300338745,14,177,0.07909604519774012,47,0.12063902616500854,0,-1.5477832040954325
M-2022-3,train,50,124,final,M-2022-7,abrupt,0.5846898372195336,0.13023560209424084,0.186155285313377,0.11780104712041885,0.28582554517133957,1,3980,26673,5.997907638549805,0.822056770324707,0.17794322967529297,0.5965621471405029,41,177,0.23163841807909605,33,0.10069549083709717,0,-0.7799738920349443
M-2022-3,train,38,45,final,M-2022-8,abrupt,0.6753246753246753,0.05181347150259067,0.08968609865470852,0.46113989637305697,0.8602261048304214,1,86,3294,8.810308456420898,0.6386585235595703,0.3613414764404297,0.8501076698303223,123,177,0.6949152542372882,68,0.14168250560760498,0,0.49899501351939196
M-2022-3,train,121,14,final,M-2022-9,gradual,0.9476995674400315,0.0,0.0,0.4375,0.7515151515151515,1,2119,8975,7.263429641723633,0.7397723197937012,0.26022768020629883,0.7214259505271912,15,177,0.0847457627118644,120,0.04770100116729736,0,-1.402914031955754
M-2022-3,train,69,105,final,M-2022-9,abrupt,0.8020477815699659,0.00482315112540193,0.008430913348946136,0.3767416934619507,0.32507739938080493,1,681,3180,3.911027431488037,0.9192790985107422,0.08072090148925781,0.40179818868637085,1,177,0.005649717514124294,105,0.08072090148925781,1,-2.1673484678720563
M-2022-3,train,104,2,final,M-2022-9,gradual,0.6286054118346714,0.00974770642201835,0.016456921587608905,0.2121559633027523,0.2101628021706956,1,2594,7334,5.664584636688232,0.8179122805595398,0.1820877194404602,0.6034694910049438,34,177,0.192090395480226,33,0.07055896520614624,0,-0.8976438887205868
M-2022-3,train,47,5,final,M-2022-11,gradual,0.9700442823651992,0.0,0.0,0.45145631067961167,0.3493975903614458,1,2713,1923,7.31417989730835,0.7966514229774475,0.2033485770225525,0.6377281546592712,11,177,0.062146892655367235,48,0.12063902616500854,0,-1.5998112863955027
M-2022-3,train,66,71,final,M-2022-11,abrupt,0.9201786754709652,0.0010230179028132991,0.001658374792703151,0.13861892583120206,0.35346142116498935,1,4474,128078,9.561540603637695,0.6002956628799438,0.39970433712005615,0.8940966129302979,137,177,0.7740112994350282,104,0.12670058012008667,0,0.8322704669823819
M-2022-3,train,10,156,final,M-2022-11,gradual,0.8128712871287128,0.09760956175298804,0.16184971098265896,0.3645418326693227,0.34739941118743867,1,2132,32986,6.256943225860596,0.8211284875869751,0.1788715124130249,0.5981162190437317,7,177,0.03954802259887006,12,0.054908931255340576,0,-1.4803810018987265
M-2022-3,train,7,5,final,M-2022-11,gradual,0.6666666666666666,0.21212121212121213,0.125,0.48484848484848486,0.7884615384615384,1,150,1923,2.990201473236084,0.9681897163391113,0.03181028366088867,0.25223076343536377,1,177,0.005649717514124294,5,0.03181028366088867,1,-3.224310146974668
M-2022-3,train,109,71,final,M-2022-12,abrupt,0.9480449919657205,0.0,0.0,0.24936386768447838,0.24936386768447838,1,1504,128078,11.080531120300293,0.5659303665161133,0.4340696334838867,0.9317399859428406,129,177,0.7288135593220338,65,0.06632888317108154,0,0.6355082566167576
M-2022-3,train,26,13,final,M-2022-12,abrupt,0.8839947666812037,0.022304832713754646,0.024539877300613498,0.21561338289962825,0.21561338289962825,1,1684,2620,4.780452728271484,0.8696063756942749,0.1303936243057251,0.5106731653213501,5,177,0.02824858757062147,46,0.08171647787094116,0,-1.5833146282194788
M-2022-4,train,56,96,final,M-2022-5,abrupt,0.9524469982167625,0.00041196341764851283,0.0007871536523929471,0.25236878965147896,0.36252736940882074,1,1829,50634,10.833734512329102,0.694423258304596,0.30557674169540405,0.7817630171775818,42,175,0.24,148,0.14118742942810059,0,-0.782454742226203
M-2022-4,train,163,46,final,M-2022-5,gradual,0.3659695817490494,0.015508328546812177,0.025738798856053385,0.41815048822515793,0.3468067906224737,1,4141,4001,6.911128520965576,0.822101354598999,0.17789864540100098,0.5964875817298889,6,175,0.03428571428571429,3,0.12658071517944336,0,-2.008257124825119
