method,strategy,budget,replay_mode,replay_per_class,target_repeat,replay_distill_weight,distill_temperature,replay_samples,selected_collapse_labels,selected_absorber_preds,overall_accuracy,overall_macro_f1,bad_accuracy,bad_macro_f1,bad_support,stable_accuracy,stable_macro_f1,stable_support,collapsed_count,severe_collapsed_count,head_train_samples,selected_mean_proto_distance,period,input_dir,delta_macro_f1_vs_static,delta_collapse_f1_vs_static,delta_stable_f1_vs_static
active_head_ft,absorber_random,1000,all,5,2,0.5,2.0,890,44,1000,0.8066864017290198,0.7132809274502975,0.4727226021898982,0.4499318316892095,31143,0.9463402016573776,0.9044163174522524,204902,2,2,2890,0.1731216311454773,M-2022-10,outputs/collapse_active_replay_tls22_M-2022-10_all_r5_tr2_distill0.5,0.029675792974708126,0.19180560361580568,-0.0045699857770127306
active_head_ft,absorber_margin,200,all,5,2,0.5,2.0,890,12,200,0.7973637866929155,0.6921258414350522,0.37851202517419646,0.3455906624416663,31143,0.9359010648993177,0.8876666531185725,204902,3,2,1290,0.1926114410161972,M-2022-10,outputs/collapse_active_replay_tls22_M-2022-10_all_r5_tr2_distill0.5,0.008520706959462832,0.08746443436826246,-0.02131965011069259
active_head_ft,absorber_margin,500,all,5,2,0.5,2.0,890,22,500,0.796438009981741,0.6952378779181215,0.42404392640400734,0.39155042084400854,31143,0.9389854662228773,0.8966981375368096,204902,3,1,1890,0.19213363528251648,M-2022-10,outputs/collapse_active_replay_tls22_M-2022-10_all_r5_tr2_distill0.5,0.011632743442532179,0.1334241927706047,-0.0122881656924555
active_head_ft,absorber_margin,1000,all,5,2,0.5,2.0,890,35,1000,0.8054063811325448,0.7099922513865871,0.4515300388530328,0.4192970055709433,31143,0.9372870933421831,0.9027180451115772,204902,3,1,2890,0.19846628606319427,M-2022-10,outputs/collapse_active_replay_tls22_M-2022-10_all_r5_tr2_distill0.5,0.02638711691099771,0.16117077749753944,-0.0062682581176879415
active_head_ft,absorber_margin_balanced,200,all,5,2,0.5,2.0,890,12,200,0.7953830213615838,0.6908555181570668,0.37616799922936134,0.343247999178627,31143,0.9434802978985076,0.8917736662767929,204902,3,2,1290,0.1843550056219101,M-2022-10,outputs/collapse_active_replay_tls22_M-2022-10_all_r5_tr2_distill0.5,0.007250383681477457,0.08512177110522312,-0.017212636952472216
active_head_ft,absorber_margin_balanced,500,all,5,2,0.5,2.0,890,25,500,0.805640124024075,0.7060791595348231,0.42446135568185467,0.4039126649492592,31143,0.9420796283101189,0.8955022753304089,204902,3,1,1890,0.1819916069507599,M-2022-10,outputs/collapse_active_replay_tls22_M-2022-10_all_r5_tr2_distill0.5,0.022474025059233793,0.14578643687585535,-0.013484027898856166
active_head_ft,absorber_margin_balanced,1000,all,5,2,0.5,2.0,890,49,1000,0.8066351041172141,0.7203978286526455,0.5377131297562855,0.49227519896433997,31143,0.9422113986198281,0.894355606232779,204902,2,1,2890,0.18348804116249084,M-2022-10,outputs/collapse_active_replay_tls22_M-2022-10_all_r5_tr2_distill0.5,0.03679269417705611,0.23414897089093611,-0.014630696996486114
static,,0,all,5,2,0.5,2.0,890,0,0,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8,,,M-2022-12,outputs/collapse_active_replay_tls22_M-2022-12_all_r5_tr2_distill0.5,0.0,0.0,0.0
active_head_ft,random,200,all,5,2,0.5,2.0,890,2,21,0.7723477946749958,0.6376317730034904,0.07853326502232306,0.06948927529613753,27326,0.9372346918957911,0.894100843023711,144172,10,5,1290,0.16552788019180298,M-2022-12,outputs/collapse_active_replay_tls22_M-2022-12_all_r5_tr2_distill0.5,0.008984689503075516,0.04191270817179617,-0.008669793933855363
active_head_ft,random,500,all,5,2,0.5,2.0,890,9,41,0.7889254240951491,0.6573093075430363,0.2887725975261656,0.1377729208968015,27326,0.9416114085952889,0.897460223054453,144172,9,5,1890,0.1663004606962204,M-2022-12,outputs/collapse_active_replay_tls22_M-2022-12_all_r5_tr2_distill0.5,0.02866222404262142,0.11019635377246012,-0.005310413903113265
active_head_ft,random,1000,all,5,2,0.5,2.0,890,19,87,0.8030514748392001,0.6712748554715197,0.4904120617726707,0.21059933195056732,27326,0.9409871542324446,0.9028746834820327,144172,8,4,2890,0.1635056585073471,M-2022-12,outputs/collapse_active_replay_tls22_M-2022-12_all_r5_tr2_distill0.5,0.04262777197110479,0.18302276482622595,0.00010404652446638352
active_head_ft,margin,200,all,5,2,0.5,2.0,890,10,36,0.7799284931028567,0.6465246905333242,0.27607406865256534,0.12900757960306883,27326,0.9368254584801488,0.8936892010839893,144172,9,5,1290,0.19158145785331726,M-2022-12,outputs/collapse_active_replay_tls22_M-2022-12_all_r5_tr2_distill0.5,0.017877607032909304,0.10143101247872746,-0.009081435873577015
active_head_ft,margin,500,all,5,2,0.5,2.0,890,20,82,0.7925876775675261,0.6636527835524736,0.2921027592768792,0.17059474925695692,27326,0.9437824265460699,0.9000514064313355,144172,7,5,1890,0.18453998863697052,M-2022-12,outputs/collapse_active_replay_tls22_M-2022-12_all_r5_tr2_distill0.5,0.03500570005205872,0.14301818213261555,-0.002719230526230798
active_head_ft,margin,1000,all,5,2,0.5,2.0,890,39,155,0.8090821770079102,0.686226020194061,0.43632437971162996,0.26197727643869984,27326,0.9394750714424438,0.8952711881285909,144172,5,3,2890,0.18442761898040771,M-2022-12,outputs/collapse_active_replay_tls22_M-2022-12_all_r5_tr2_distill0.5,0.05757893669364611,0.23440070931435847,-0.0074994488289754635
active_head_ft,absorber_random,200,all,5,2,0.5,2.0,890,18,200,0.7560535629131465,0.6434920501393908,0.30553319183195493,0.20645161855287134,27326,0.9416599617123991,0.8888550517593699,144172,5,3,1290,0.177294060587883,M-2022-12,outputs/collapse_active_replay_tls22_M-2022-12_all_r5_tr2_distill0.5,0.014844966638975943,0.17887505142852997,-0.013915585198196467
active_head_ft,absorber_random,500,all,5,2,0.5,2.0,890,37,500,0.765465388077196,0.6634088034047566,0.5154431676791335,0.3338230641930324,27326,0.9414033238076742,0.8942488938062316,144172,5,2,1890,0.1801198124885559,M-2022-12,outputs/collapse_active_replay_tls22_M-2022-12_all_r5_tr2_distill0.5,0.03476171990434174,0.30624649706869106,-0.008521743151334693
active_head_ft,absorber_random,1000,all,5,2,0.5,2.0,890,76,1000,0.7822145675465093,0.6715091130770855,0.5618092659006075,0.36622518128055176,27326,0.9436437033543268,0.8946560005007684,144172,4,2,2890,0.17961828410625458,M-2022-12,outputs/collapse_active_replay_tls22_M-2022-12_all_r5_tr2_distill0.5,0.042862029576670624,0.3386486141562104,-0.008114636456797886
active_head_ft,absorber_margin,200,all,5,2,0.5,2.0,890,13,200,0.762565663237429,0.6445001934090284,0.21876601039303228,0.15861687508505234,27326,0.9407374524873068,0.8967949411959859,144172,7,5,1290,0.20104551315307617,M-2022-12,outputs/collapse_active_replay_tls22_M-2022-12_all_r5_tr2_distill0.5,0.01585310990861355,0.13104030796071098,-0.005975695761580413
active_head_ft,absorber_margin,500,all,5,2,0.5,2.0,890,37,500,0.7745960827642079,0.6659955061116923,0.44298470321305716,0.30801232025912956,27326,0.9413062175734539,0.8965523776079097,144172,4,2,1890,0.1994195431470871,M-2022-12,outputs/collapse_active_replay_tls22_M-2022-12_all_r5_tr2_distill0.5,0.037348422611277465,0.2804357531347882,-0.006218259349656585
active_head_ft,absorber_margin,1000,all,5,2,0.5,2.0,890,76,1000,0.788230910900532,0.6833507733286629,0.591122008343702,0.4262081331763343,27326,0.9418819188191881,0.8913360931464283,144172,3,2,2890,0.19974380731582642,M-2022-12,outputs/collapse_active_replay_tls22_M-2022-12_all_r5_tr2_distill0.5,0.054703689828248026,0.39863156605199296,-0.011434543811138065
active_head_ft,absorber_margin_balanced,200,all,5,2,0.5,2.0,890,22,200,0.758052461063051,0.6440302212384941,0.27940423040327894,0.21794585285084112,27326,0.9412160474988208,0.8942625507949667,144172,5,4,1290,0.18888713419437408,M-2022-12,outputs/collapse_active_replay_tls22_M-2022-12_all_r5_tr2_distill0.5,0.0153831377380792,0.19036928572649975,-0.00850808616259957
active_head_ft,absorber_margin_balanced,500,all,5,2,0.5,2.0,890,61,500,0.7718731980632226,0.6689992071277702,0.43226231427944084,0.3344878099161856,27326,0.9391143911439115,0.891583986668165,144172,4,3,1890,0.18830853700637817,M-2022-12,outputs/collapse_active_replay_tls22_M-2022-12_all_r5_tr2_distill0.5,0.040352123627355296,0.30691124279184423,-0.011186650289401356
active_head_ft,absorber_margin_balanced,1000,all,5,2,0.5,2.0,890,108,1000,0.7769214550164786,0.6804452478234909,0.53886408548635,0.4073136990168107,27326,0.9404045168271231,0.8930060819821521,144172,4,3,2890,0.1879744678735733,M-2022-12,outputs/collapse_active_replay_tls22_M-2022-12_all_r5_tr2_distill0.5,0.051798164323076046,0.3797371318924693,-0.009764554975414175
