class,fd,ref_count,tgt_count,count_ratio,margin_drop,conf_drop,entropy_rise,fd_zscore,collapse_score,status
159,10.355977356511712,2213,1214,1.0736874573327728,0.5163518190383911,0.11243927478790283,0.35517168045043945,-0.46323096708600864,0.07467117751453571,ok
176,10.205337868776619,4177,2364,1.107703693726222,1.3412048816680908,0.1575932502746582,0.47873347997665405,-0.4815349379634561,0.15610335252199053,ok
134,9.849229477355307,11735,6014,1.0030461996258424,0.1184377670288086,-0.02088320255279541,-0.06785909831523895,-0.524805117142855,0.0,ok
115,9.807348418641757,22752,14279,1.2283406418785991,0.2511110305786133,0.020888149738311768,0.039907485246658325,-0.5298940197309836,0.0,ok
53,9.707548904919582,9910,5427,1.0718321360017085,0.5892934799194336,0.06856197118759155,0.21220700442790985,-0.54202050409587,0.0013678529081621552,ok
74,9.655154502624844,7211,1880,0.5102734364720523,0.8978803157806396,0.1009708046913147,0.2416936755180359,-0.5483868667817989,0.2355710921057861,ok
46,9.587060370037458,10575,7213,1.3349843149557352,0.2115020751953125,0.03373837471008301,0.0927577018737793,-0.556660879383305,0.0,ok
49,9.557315948456548,39876,28832,1.415154279163437,1.4417734146118164,0.01766890287399292,0.050198063254356384,-0.5602750779879956,0.016590426370735212,ok
153,9.459806923324546,73820,55286,1.4658236873808392,0.7471828460693359,0.03828394412994385,0.12697800993919373,-0.5721232486312942,0.0,ok
52,9.437784251766558,2122,1277,1.1778395269568953,1.0174713134765625,0.1459517478942871,0.4411286413669586,-0.5747991893484444,0.12582544299707032,ok
71,9.262331887239291,148032,56027,0.7407682652056651,1.2759180068969727,0.054615914821624756,0.15465155243873596,-0.5961181344601931,0.11089367563764628,ok
73,9.050351458028198,29432,9645,0.6413912990674446,2.3590197563171387,0.06561589241027832,0.16425877809524536,-0.6218755481450563,0.21196126850587327,ok
1,8.962205539723048,10586,2937,0.5430160469329578,2.064383029937744,0.10663115978240967,0.32377076148986816,-0.6325860221773406,0.2970041159628379,ok
37,8.845432814905013,1332,763,1.1211427686550286,-1.842799186706543,-0.022495925426483154,-0.05687643587589264,-0.6467748951381158,0.0,ok
17,8.732741663356515,9570,9699,1.983606983099296,1.0877408981323242,0.03250992298126221,0.09795334935188293,-0.6604678224515509,0.0,ok
