class,group,reference_support,target_support,static_f1,best_proto_f1,delta_f1,static_recall,best_proto_recall,delta_recall
56,bad,10094,12137,0.0007871536523929471,0.0007975117632985087,1.0358110905561561e-05,0.00041196341764851283,0.00041196341764851283,0.0
57,stable,3065,2331,0.9740064446831365,0.9719305763874009,-0.0020758682957355834,0.9725439725439725,0.972972972972973,0.0004290004290005145
58,other,2286,15,0.0,0.0,0.0,0.0,0.0,0.0
59,stable,13724,6030,0.9851931507982463,0.984699363162683,-0.000493787635563292,0.9875621890547264,0.9872305140961858,-0.00033167495854058426
60,other,49622,24845,0.8670687575392039,0.864867050854312,-0.0022017066848918354,0.8679412356610988,0.860776816260817,-0.007164419400281785
61,other,19676,10494,0.6124639431139733,0.603073696628109,-0.009390246485864395,0.870020964360587,0.876882027825424,0.006861063464837058
62,stable,15549,11221,0.9274218038262982,0.9215559297154945,-0.005865874110803748,0.9525888958203369,0.9511629979502718,-0.0014258978700650848
63,other,11152,5492,0.6012027349864074,0.5960575214089514,-0.005145213577456009,0.66442097596504,0.6717042971595047,0.007283321194464731
64,stable,2437,1215,0.7903039630627164,0.7834419317746263,-0.0068620312880901535,0.8452674897119341,0.8411522633744856,-0.004115226337448541
65,other,3145,2112,0.927449168207024,0.9157726546450582,-0.011676513561965862,0.9502840909090909,0.9498106060606061,-0.00047348484848486194
66,bad,5149,1955,0.001658374792703151,0.0007977662544874351,-0.0008606085382157158,0.0010230179028132991,0.0005115089514066496,-0.0005115089514066496
67,other,854,1191,0.1558219178082192,0.167779632721202,0.011957714912982809,0.1528127623845508,0.16876574307304787,0.01595298068849707
68,other,7271,2499,0.7406663318265528,0.743163898674719,0.002497566848166155,0.8851540616246498,0.8863545418167267,0.0012004801920768582
69,bad,879,1866,0.008430913348946136,0.011188811188811189,0.002757897839865053,0.00482315112540193,0.006430868167202572,0.0016077170418006426
70,other,2642,908,0.36075949367088606,0.3456603773584906,-0.015099116312395466,0.2511013215859031,0.2522026431718062,0.0011013215859030923
71,other,149408,39434,0.7009773624831083,0.7027083859029355,0.0017310234198272267,0.8484556474108638,0.8474412943145508,-0.0010143530963129255
72,other,17880,5765,0.49422234981698127,0.4915458082773258,-0.0026765415396554637,0.5972246313963573,0.602601908065915,0.0053772766695576735
73,other,29211,8821,0.8796707462363262,0.8749131712530056,-0.004757574983320634,0.9207572837546764,0.9281260628046707,0.007368779049994334
74,other,9210,2294,0.5352180162913273,0.5351078476365305,-0.00011016865479673843,0.486922406277245,0.5082824760244115,0.021360069747166477
75,other,28060,6807,0.4022364217252396,0.3965233732675593,-0.005713048457680281,0.36991332451887765,0.371970030850595,0.0020567063317173395
76,stable,10523,2683,0.8810229799851742,0.8825715347454478,0.0015485547602736016,0.8859485650391353,0.8852031308237048,-0.000745434215430496
77,other,81932,17960,0.7427868015732428,0.745105192752037,0.002318391178794177,0.6887527839643652,0.682293986636971,-0.0064587973273941834
78,other,48009,10246,0.748072353426119,0.7472366233004011,-0.000835730125717915,0.7527815732968963,0.7455592426312707,-0.007222330665625609
79,other,25102,7528,0.7017907355335208,0.7024211298606016,0.0006303943270807855,0.6299149840595112,0.6358926673751328,0.005977683315621651
80,other,6096,1055,0.31480241125251174,0.31767041694242226,0.0028680056899105244,0.22274881516587677,0.22748815165876776,0.004739336492890989
81,other,7217,2122,0.9364595545134818,0.9324452901998097,-0.004014264313672133,0.9410933081998115,0.9236569274269557,-0.01743638077285581
82,other,79609,27579,0.7796960806439479,0.7783430784417952,-0.001353002202152731,0.7516226114072302,0.7433191921389463,-0.00830341926828393
83,other,24502,19531,0.91312422616591,0.9158547841247051,0.0027305579587950657,0.9062516000204802,0.9144949055347908,0.008243305514310628
84,other,2397,1057,0.8721951219512195,0.868892114175133,-0.0033030077760864973,0.8457899716177862,0.8495742667928098,0.0037842951750235443
85,other,2080,350,0.7124087591240876,0.7376311844077961,0.02522242528370844,0.6971428571428572,0.7028571428571428,0.005714285714285672
86,other,27759,20232,0.8040145527537322,0.7985914065666802,-0.005423146187052086,0.7919137999209174,0.7790134440490313,-0.012900355871886093
87,other,11231,5056,0.9071502786436195,0.9086775293671845,0.0015272507235649657,0.9497626582278481,0.9485759493670886,-0.0011867088607595555
88,other,204,83,0.21052631578947367,0.1896551724137931,-0.02087114337568058,0.5301204819277109,0.5301204819277109,0.0
89,other,486,377,0.7072599531615925,0.7077267637178052,0.0004668105562126712,0.8010610079575596,0.8381962864721485,0.037135278514588865
90,other,7635,4080,0.8953821473587716,0.8900169204737732,-0.005365226884998409,0.9575980392156863,0.9669117647058824,0.009313725490196045
91,other,4262,2334,0.8252314814814815,0.8208926875593542,-0.004338793922127326,0.916452442159383,0.9258783204798628,0.009425878320479808
92,other,2288,896,0.8409090909090909,0.83451536643026,-0.006393724478830909,0.7845982142857143,0.7879464285714286,0.0033482142857143016
93,other,34812,18804,0.7622616498419497,0.7632007864848783,0.0009391366429286618,0.7950967879174644,0.7844075728568389,-0.010689215060625479
