norm,period,class_id,groups,support,precision,recall,f1
gn,M-2022-7,96,absorber;degraded_noncollapsed,37892,0.8220145273530757,0.8541644674337591,0.8377811715372868
gn,M-2022-7,97,,30023,0.9256558051993883,0.7862971721680045,0.8503043619205417
gn,M-2022-7,98,stable,48679,0.995002467917078,0.9938782637276854,0.994440048097181
gn,M-2022-7,99,stable,18048,0.9044958487807425,0.9597739361702128,0.9313153579397295
gn,M-2022-7,100,,10947,0.8952263374485596,0.9936055540330684,0.9418539204225657
gn,M-2022-7,101,degraded_noncollapsed,44889,0.9237121510027526,0.15698723518011093,0.26836513195475836
gn,M-2022-7,102,,41479,0.7885639059012077,0.996431929410063,0.8803944958036893
gn,M-2022-7,103,degraded_noncollapsed,1231,0.649379932356257,0.9358245329000813,0.7667221297836938
gn,M-2022-7,104,final_collapsed;gradual_collapsed,1719,0.4161676646706587,0.16172193135543922,0.23292836196062003
gn,M-2022-7,105,absorber;degraded_noncollapsed,1105,0.35490101400289714,0.665158371040724,0.4628463476070529
gn,M-2022-7,106,,2288,0.9384359400998337,0.986013986013986,0.9616368286445013
gn,M-2022-7,107,stable,2160,0.9126506024096386,0.9819444444444444,0.9460303300624442
gn,M-2022-7,108,,7204,0.9411280362289007,0.9519711271515825,0.9465185287419777
gn,M-2022-7,109,final_collapsed;abrupt_collapsed,1236,0.9307875894988067,0.9466019417475728,0.9386281588447654
gn,M-2022-7,110,,6102,0.8964310706787963,0.839724680432645,0.8671518023354206
gn,M-2022-7,111,degraded_noncollapsed,1330,0.604978354978355,0.42030075187969923,0.49600709849157054
gn,M-2022-7,112,degraded_noncollapsed,1780,0.7136490250696379,0.7196629213483146,0.7166433566433567
gn,M-2022-7,113,stable,2014,0.9925149700598802,0.9875868917576961,0.9900447984071677
gn,M-2022-7,114,,1939,0.7561934722768384,0.9917483238782878,0.85809906291834
gn,M-2022-7,115,,13745,0.8578384488305365,0.7177882866496907,0.7815891626396261
gn,M-2022-7,116,,3519,0.9113607990012484,0.8297811878374538,0.8686598244831176
