rule,threshold_name,threshold_value,coverage,reject_rate,accepted_accuracy,accepted_macro_f1,collapsed_reject_rate,abrupt_reject_rate,gradual_reject_rate,stable_false_reject_rate,stable_coverage,collapsed_coverage,original_collapse_absorber_errors,kept_collapse_absorber_errors,absorber_error_reduction,original_pair_absorber_errors,kept_pair_absorber_errors,pair_absorber_error_reduction,num_rejected,num_accepted,num_collapsed_samples,num_stable_samples,period,input_dir
hybrid,conf_p10_margin_p10_dist_p85,0.22680793702602386,0.7704262492783249,0.22957375072167513,0.8894168800267339,0.7713314700891278,0.5612479265024882,0.5356404958677686,0.6655339805825242,0.0532108032132434,0.9467891967867565,0.43875207349751183,8907,273,0.9693499494779387,7776,273,0.964891975308642,474385,1591988,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p10_margin_p10_dist_p90,0.2449350357055664,0.7717299829217668,0.22827001707823322,0.8893384386354145,0.7710875715638308,0.5594934286078856,0.533733312142403,0.6644012944983819,0.05319616206772018,0.9468038379322798,0.44050657139211435,8907,328,0.963175030874593,7776,328,0.9578189300411523,471691,1594682,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p10_margin_p10_dist_p95,0.2717369496822357,0.7725159010498105,0.22748409895018953,0.8893558002037203,0.7712910203643615,0.5594615286461656,0.5336935791481247,0.6644012944983819,0.053171760158514804,0.9468282398414852,0.4405384713538344,8907,329,0.9630627596272594,7776,329,0.957690329218107,470067,1596306,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p10_margin_p10_dist_p97,0.2888748198747636,0.7726925390527267,0.2273074609472733,0.8893422627454247,0.7712803838687792,0.5594296286844456,0.5336935791481247,0.6642394822006472,0.053171760158514804,0.9468282398414852,0.44057037131555443,8907,330,0.9629504883799259,7776,330,0.9575617283950617,469702,1596671,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p10_margin_p10_dist_p99,0.3192392587661743,0.772757870916819,0.227242129083181,0.889334709413667,0.7712856775401705,0.5594296286844456,0.5336935791481247,0.6642394822006472,0.053171760158514804,0.9468282398414852,0.44057037131555443,8907,330,0.9629504883799259,7776,330,0.9575617283950617,469567,1596806,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p15_margin_p15_dist_p70,0.18611037731170654,0.6977786682268884,0.3022213317731116,0.9203625012223701,0.8013331338105164,0.6546191144570627,0.6255165289256198,0.7731391585760518,0.07851558305921855,0.9214844169407814,0.34538088554293733,8907,55,0.9938250813966543,7776,55,0.9929269547325102,624502,1441871,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p15_margin_p15_dist_p80,0.2109503149986267,0.7005956814186016,0.29940431858139843,0.9205721935328786,0.8034687726110026,0.6536302156437412,0.6254370629370629,0.7684466019417475,0.0785058222955364,0.9214941777044636,0.34636978435625876,8907,86,0.990344672729314,7776,86,0.988940329218107,618681,1447692,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p15_margin_p15_dist_p85,0.22680793702602386,0.7021355776522438,0.2978644223477562,0.9206168144166895,0.8039789527078848,0.6505997192803369,0.621900826446281,0.7674757281553398,0.0785058222955364,0.9214941777044636,0.3494002807196631,8907,181,0.979678904232626,7776,181,0.9767232510288066,615499,1450874,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p15_margin_p15_dist_p90,0.2449350357055664,0.7032505747994191,0.2967494252005809,0.9206332603438808,0.8040951918400491,0.6491323210412148,0.6203512396694215,0.7663430420711974,0.07849606153185425,0.9215039384681457,0.35086767895878523,8907,227,0.9745144268552823,7776,227,0.9708076131687243,613195,1453178,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p15_margin_p15_dist_p95,0.2717369496822357,0.7039924544116672,0.2960075455883328,0.9206460939664305,0.8041815064649347,0.6491004210794947,0.620311506675143,0.7663430420711974,0.07848142038633103,0.921518579613669,0.3508995789205053,8907,228,0.9744021556079488,7776,228,0.970679012345679,611662,1454711,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p15_margin_p15_dist_p97,0.2888748198747636,0.704157961800701,0.29584203819929894,0.9206324443164613,0.8041664476617048,0.6490685211177747,0.620311506675143,0.7661812297734628,0.07848142038633103,0.921518579613669,0.35093147888222537,8907,229,0.9742898843606153,7776,229,0.9705504115226338,611320,1455053,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p15_margin_p15_dist_p99,0.3192392587661743,0.7042165185085171,0.2957834814914829,0.9206273614014544,0.8041744625730032,0.6490685211177747,0.620311506675143,0.7661812297734628,0.07848142038633103,0.921518579613669,0.35093147888222537,8907,229,0.9742898843606153,7776,229,0.9705504115226338,611199,1455174,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p20_margin_p20_dist_p70,0.18611037731170654,0.631580068070963,0.368419931929037,0.9464469611058326,0.827986468816038,0.7307005231593722,0.7040686586141132,0.8391585760517799,0.10772954875989497,0.8922704512401051,0.26929947684062777,8907,40,0.9955091501066576,7776,40,0.9948559670781894,761293,1305080,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
