strategy,budget,class_id,support,recall,f1
oracle_collapse_random,50,66,1955,0.19641943734015346,0.01122774187889243
oracle_collapse_random,50,10,1004,0.2350597609561753,0.22946037919299953
oracle_collapse_random,50,109,393,0.0,0.0
oracle_collapse_random,50,26,807,0.0,0.0
oracle_collapse_random,100,56,12137,0.9129933261926341,0.3553652748380476
oracle_collapse_random,100,163,1741,0.2199885123492246,0.024862864747314098
oracle_collapse_random,100,174,1507,0.18248175182481752,0.03197488518109412
oracle_collapse_random,100,48,3361,0.6655757215114549,0.2029208998548621
oracle_collapse_random,100,38,193,0.06735751295336788,0.04823747680890538
oracle_collapse_random,100,69,1866,0.737406216505895,0.03707645671943415
oracle_collapse_random,100,104,1744,0.7677752293577982,0.33868723915517895
oracle_collapse_random,100,47,618,0.23624595469255663,0.1555673947789025
oracle_collapse_random,100,66,1955,0.2772378516624041,0.017870095614902735
oracle_collapse_random,100,10,1004,0.7848605577689243,0.15867901731776077
oracle_collapse_random,100,109,393,0.0,0.0
oracle_collapse_random,100,26,807,0.048327137546468404,0.03209876543209877
oracle_collapse_random,200,56,12137,0.9279887945950399,0.3191827018448721
oracle_collapse_random,200,163,1741,0.3917288914417002,0.03288569568676616
oracle_collapse_random,200,174,1507,0.46715328467153283,0.047627101444373036
oracle_collapse_random,200,48,3361,0.6712288009520976,0.19779930735171627
oracle_collapse_random,200,38,193,0.06735751295336788,0.04384485666104553
oracle_collapse_random,200,69,1866,0.8086816720257235,0.038592856868837996
oracle_collapse_random,200,104,1744,0.830848623853211,0.3189522342064715
oracle_collapse_random,200,47,618,0.5323624595469255,0.14329268292682926
oracle_collapse_random,200,66,1955,0.45575447570332484,0.03060593569661995
oracle_collapse_random,200,10,1004,0.8476095617529881,0.13704807150334167
oracle_collapse_random,200,109,393,0.0,0.0
oracle_collapse_random,200,26,807,0.28376703841387857,0.05737910298170885
oracle_collapse_random,500,56,12137,0.9871467413693664,0.2721253761853387
oracle_collapse_random,500,163,1741,0.6961516369902355,0.03498542274052478
oracle_collapse_random,500,174,1507,0.7936297279362973,0.04885720705079761
oracle_collapse_random,500,48,3361,0.9193692353466231,0.2343127962085308
oracle_collapse_random,500,38,193,0.40932642487046633,0.018933493109646496
oracle_collapse_random,500,69,1866,0.8879957127545552,0.05311237899865376
oracle_collapse_random,500,104,1744,0.9134174311926605,0.1961218836565097
oracle_collapse_random,500,47,618,0.8495145631067961,0.12956564659427444
oracle_collapse_random,500,66,1955,0.7938618925831202,0.043931159420289856
oracle_collapse_random,500,10,1004,0.8705179282868526,0.15734989648033126
oracle_collapse_random,500,109,393,0.0,0.0
oracle_collapse_random,500,26,807,0.5861214374225526,0.04691296801388545
oracle_collapse_random,1000,56,12137,0.9890417730905495,0.26250013667326344
oracle_collapse_random,1000,163,1741,0.7943710511200459,0.05692529327022021
oracle_collapse_random,1000,174,1507,0.8619774386197744,0.03775614009591629
oracle_collapse_random,1000,48,3361,0.9738173162749182,0.2653640343765202
oracle_collapse_random,1000,38,193,0.5803108808290155,0.030501089324618737
oracle_collapse_random,1000,69,1866,0.9158628081457664,0.057789199607750315
oracle_collapse_random,1000,104,1744,0.9346330275229358,0.15027889180841747
oracle_collapse_random,1000,47,618,0.8495145631067961,0.1250595521676989
oracle_collapse_random,1000,66,1955,0.8879795396419438,0.04550935877942641
oracle_collapse_random,1000,10,1004,0.9063745019920318,0.19137749737118823
oracle_collapse_random,1000,109,393,0.19592875318066158,0.0019674728194907566
oracle_collapse_random,1000,26,807,0.7881040892193308,0.03991464792268106
