group,n_classes,support,macro_f1,macro_recall,collapsed_count,severe_count,method,period
abrupt_collapsed,8,31359,0.792947658417019,0.7761704336503319,0,0,tta_tc,M-2022-5
gradual_collapsed,5,14144,0.6222962501519428,0.5933016869734493,1,0,tta_tc,M-2022-5
absorber,10,304080,0.7989239262332604,0.8023036752380218,0,0,tta_tc,M-2022-5
degraded_noncollapsed,39,402123,0.8124784036269499,0.8044872685128492,0,0,tta_tc,M-2022-5
stable,20,204681,0.8789218097773785,0.888758650955913,0,0,tta_tc,M-2022-6
final_collapsed,13,37140,0.6827272546089169,0.6548782254940846,2,0,tta_tc,M-2022-6
abrupt_collapsed,8,26322,0.7218185873950317,0.6992113871711502,1,0,tta_tc,M-2022-6
gradual_collapsed,5,10818,0.6201811221511332,0.5839451668107799,1,0,tta_tc,M-2022-6
absorber,10,251157,0.7384607445649716,0.7802003426542438,0,0,tta_tc,M-2022-6
degraded_noncollapsed,39,328956,0.7132363135696606,0.7128066398044154,0,0,tta_tc,M-2022-6
stable,20,146256,0.8345248143579852,0.8623133499166027,1,0,tta_tc,M-2022-7
final_collapsed,13,23893,0.5129950817846424,0.4857240460949746,4,2,tta_tc,M-2022-7
abrupt_collapsed,8,19161,0.5745426919368652,0.5396896338399495,2,1,tta_tc,M-2022-7
gradual_collapsed,5,4732,0.41451890554108584,0.3993791057030147,2,1,tta_tc,M-2022-7
absorber,10,154739,0.6700432349246753,0.7265075017989832,0,0,tta_tc,M-2022-7
degraded_noncollapsed,39,222215,0.6536936080048062,0.6547876322824446,0,0,tta_tc,M-2022-7
stable,20,155230,0.8805514622713018,0.8986032898352526,0,0,tta_tc,M-2022-8
final_collapsed,13,28206,0.3761652124438358,0.36760063594922965,5,3,tta_tc,M-2022-8
abrupt_collapsed,8,23137,0.4733032078480541,0.46206345455934206,3,2,tta_tc,M-2022-8
gradual_collapsed,5,5069,0.22074441979708642,0.21646012617304988,2,1,tta_tc,M-2022-8
absorber,10,162470,0.6586470438608438,0.70765710566422,0,0,tta_tc,M-2022-8
degraded_noncollapsed,39,247371,0.6263952755556078,0.6232692538580612,0,0,tta_tc,M-2022-8
stable,20,181432,0.8921333715179236,0.8937813325731042,0,0,tta_tc,M-2022-9
final_collapsed,13,27004,0.2935600270828908,0.28394949387873275,7,3,tta_tc,M-2022-9
abrupt_collapsed,8,21820,0.36808236474206507,0.34543783797521727,3,2,tta_tc,M-2022-9
gradual_collapsed,5,5184,0.17432428682821202,0.18556814332435748,4,1,tta_tc,M-2022-9
absorber,10,187689,0.6336208530292304,0.661549896227015,0,0,tta_tc,M-2022-9
degraded_noncollapsed,39,289979,0.598232189325761,0.5655596157398607,0,0,tta_tc,M-2022-9
stable,20,204902,0.9034711793389558,0.9080308747387933,0,0,tta_tc,M-2022-10
final_collapsed,13,31348,0.24268616030472617,0.22729158425890633,8,4,tta_tc,M-2022-10
abrupt_collapsed,8,25168,0.31849359186803705,0.3087415255150155,4,2,tta_tc,M-2022-10
gradual_collapsed,5,6180,0.12139426980342889,0.09697167824913175,4,2,tta_tc,M-2022-10
absorber,10,187479,0.593874977043905,0.629569904600113,0,0,tta_tc,M-2022-10
degraded_noncollapsed,39,316730,0.5594619431543284,0.5133948405691452,0,0,tta_tc,M-2022-10
stable,20,217551,0.8813277754024249,0.898129376174119,0,0,tta_tc,M-2022-11
final_collapsed,13,37343,0.16826083029198113,0.1473532963404476,9,4,tta_tc,M-2022-11
abrupt_collapsed,8,30158,0.2353467204045491,0.21165660410548623,5,3,tta_tc,M-2022-11
gradual_collapsed,5,7185,0.06092340611187229,0.04446800391638588,4,1,tta_tc,M-2022-11
absorber,10,195984,0.5842827290903367,0.6266770847147456,0,0,tta_tc,M-2022-11
degraded_noncollapsed,39,336377,0.5242309369976864,0.46494858738612366,0,0,tta_tc,M-2022-11
stable,20,144172,0.8983624703524559,0.9039901011567121,0,0,tta_tc,M-2022-12
final_collapsed,13,27342,0.05649897969172191,0.03427265809745009,11,6,tta_tc,M-2022-12
abrupt_collapsed,8,22219,0.055885091211475016,0.03330572434720121,7,4,tta_tc,M-2022-12
gradual_collapsed,5,5123,0.05748120126011693,0.0358197520978483,4,2,tta_tc,M-2022-12
absorber,10,119068,0.5502746063023698,0.624713022001244,0,0,tta_tc,M-2022-12
degraded_noncollapsed,39,211647,0.47517771960245797,0.4313768671889659,0,0,tta_tc,M-2022-12
