period,true_class,pred_class,confusion_count,confusion_rate,rank_in_period
W-2022-46,59,101,5148,0.0149565510448958,433
W-2022-46,48,43,275,0.014914849766785986,434
W-2022-46,74,14,28,0.014885699096225412,435
W-2022-46,16,11,15,0.01483679525222552,436
W-2022-46,11,14,172,0.014781711928497766,437
W-2022-46,98,18,185,0.014781080217321827,438
W-2022-46,85,64,55,0.014725568942436412,439
W-2022-46,85,74,55,0.014725568942436412,440
W-2022-46,32,26,2144,0.014725173590840723,441
W-2022-46,39,63,162,0.01471924404870071,442
W-2022-46,34,101,8,0.014678899082568808,443
W-2022-46,29,66,2590,0.014656201723659864,444
W-2022-46,11,21,169,0.014523891371605363,445
W-2022-46,94,70,38,0.014520443255636225,446
W-2022-46,81,67,27,0.014516129032258065,447
W-2022-46,84,18,13,0.014508928571428572,448
W-2022-46,88,64,264,0.014502307185234015,449
W-2022-46,47,48,532,0.014484072964878846,450
W-2022-46,54,44,222,0.01444184231069477,451
W-2022-46,70,14,81,0.014323607427055704,452
W-2022-46,38,67,52,0.014266117969821674,453
W-2022-46,48,54,263,0.014264019958780778,454
W-2022-46,58,43,89,0.014147194404705134,455
W-2022-46,94,35,37,0.014138326327856323,456
W-2022-46,94,92,37,0.014138326327856323,457
W-2022-46,61,57,2011,0.013997549906729403,458
W-2022-46,98,79,175,0.013982102908277404,459
W-2022-46,60,57,774,0.013890135132710013,460
W-2022-46,21,100,37,0.013873265841769778,461
W-2022-46,12,41,175,0.013802350343086994,462
W-2022-46,35,3,46,0.013768332834480694,463
W-2022-46,64,11,69,0.013649851632047478,464
W-2022-46,66,29,3216,0.013583605061751339,465
W-2022-46,44,62,612,0.013534732512108278,466
W-2022-46,100,90,154,0.013524194256608413,467
W-2022-46,7,98,13,0.013457556935817806,468
W-2022-46,98,97,168,0.013422818791946308,469
W-2022-46,84,89,12,0.013392857142857142,470
W-2022-46,83,73,8,0.013266998341625208,471
W-2022-46,6,10,5,0.013192612137203167,472
W-2022-46,6,88,5,0.013192612137203167,473
W-2022-46,61,49,1891,0.013162290837208008,474
W-2022-46,2,24,5,0.013020833333333334,475
W-2022-46,61,58,1869,0.01300916000779575,476
W-2022-46,32,30,1885,0.012946339654260616,477
W-2022-46,85,88,48,0.01285140562248996,478
W-2022-46,47,62,472,0.012850530901170705,479
W-2022-46,60,62,714,0.012813380471259624,480
W-2022-46,74,68,24,0.012759170653907496,481
W-2022-46,59,61,4390,0.012754323831991562,482
W-2022-46,70,13,72,0.01273209549071618,483
W-2022-46,90,65,48,0.012668250197941409,484
W-2022-46,44,41,571,0.012627993896101024,485
W-2022-46,13,17,591,0.012444201128611134,486
W-2022-46,7,67,12,0.012422360248447204,487
W-2022-46,7,97,12,0.012422360248447204,488
W-2022-46,96,69,3,0.012396694214876033,489
W-2022-46,96,97,3,0.012396694214876033,490
W-2022-46,21,90,33,0.012373453318335208,491
W-2022-46,48,47,227,0.012311530534765159,492
W-2022-46,84,88,11,0.012276785714285714,493
W-2022-46,9,49,20,0.012254901960784314,494
W-2022-46,88,4,223,0.012250054932981763,495
W-2022-46,94,4,32,0.01222774168895682,496
W-2022-46,82,17,200,0.012214486380847685,497
W-2022-46,1,11,12,0.012195121951219513,498
W-2022-46,20,65,43,0.012129760225669958,499
W-2022-46,59,55,4174,0.01212677623570223,500
W-2022-46,38,88,44,0.012071330589849109,501
W-2022-46,4,82,179,0.01203118698749832,502
W-2022-46,45,101,86,0.012024608501118568,503
W-2022-46,11,74,139,0.011945685802681334,504
W-2022-46,23,7,5,0.011876484560570071,505
W-2022-46,23,93,5,0.011876484560570071,506
W-2022-46,89,61,1778,0.011875262985646827,507
W-2022-46,81,79,22,0.011827956989247311,508
W-2022-46,88,85,215,0.011810591078883761,509
W-2022-46,49,57,2592,0.011779783491942301,510
W-2022-46,69,95,7,0.011764705882352941,511
W-2022-46,41,62,4251,0.011708002258424336,512
W-2022-46,74,0,22,0.011695906432748537,513
W-2022-46,50,57,3379,0.011678867436732267,514
W-2022-46,35,17,39,0.011673151750972763,515
W-2022-46,43,57,709,0.01161571480061601,516
W-2022-46,83,65,7,0.011608623548922056,517
W-2022-46,45,59,83,0.011605145413870246,518
W-2022-46,93,91,162,0.01139240506329114,519
W-2022-46,41,50,4119,0.011344451023864935,520
W-2022-46,100,68,129,0.011328708175990165,521
W-2022-46,37,25,40,0.011296243998870376,522
