period,class_id,support,ref_support,size_sum_w1,direction_front_0_9_sum_w1,ipt_tail_20_29_sum_w1,total_norm_w1,total_norm_w1_std_floor_1,total_log_w1,delta_f1_from_ref
M-2022-7,153,39925,70973,4387.217159110991,0.8807224478223046,1600.1788834264462,20.793299525310232,15.521088151410858,32.89659125653265,-0.06445505416818564
M-2022-7,154,1219,2978,6909.741165869931,1.0924220879283741,1954.7466840505515,19.128524097010818,15.670981361611025,37.80981195386992,-0.19068113353469396
M-2022-7,155,5019,11183,22133.061120420563,1.2296422124942477,1159.8235952063192,11.867018047177957,10.357588536980126,23.136102740438098,-0.1352477753611454
M-2022-7,156,19602,32897,4216.850198442581,0.43510408300050174,43.40589261861397,2.365253338942857,2.1087593001897416,4.539490791619482,-0.017181155487982935
M-2022-7,157,937,2075,5824.2628023299185,1.0427161795527895,1431.5148561803242,13.475735560053854,11.332323432178908,23.635612844937018,-0.17215025371193682
M-2022-7,158,5930,12544,2959.907968793009,0.3387834955862614,139.809203408387,3.624935009954551,3.08842329492171,5.708307786837545,-0.034223105665332376
M-2022-7,159,1512,3182,11028.063926467983,0.615685037196665,1932.185210958467,82161970942.90001,854.660941545272,32.93359143997456,-0.01612902504255531
M-2022-7,160,1230,1553,2852.260944199276,1.5206293614771305,3645.085355383496,29.653241872099514,23.763582021869503,65.33238135748348,-0.13290876340381286
M-2022-7,161,1512,3031,35686.2585459511,4.236477693463836,1067.5571624082013,93441865716.34119,1146.42055634295,42.51496122493977,-0.04554802456262319
M-2022-7,162,241,486,24275.33790960165,1.284215289517272,4117.626359646875,188.98197076337496,167.8170299978197,60.326247696529435,-0.13981121671719338
M-2022-7,163,1276,3156,9924.739943025383,2.176692849565539,227.22016381197582,11.78256848975658,9.405483121405954,19.831284893253347,-0.4078784357149905
M-2022-7,164,1702,3315,7491.710220076454,1.4553186473902584,787.8285643896899,117618390168.65631,1202.9558850919168,27.817832406643276,-0.539309306957015
M-2022-7,165,5683,5176,350.3115076051849,1.1966455923072172,39.896746336112905,6.575300207379136,5.629488245536761,7.544158510054185,-0.16801058277668734
M-2022-7,166,1530,2317,3642.2294543597905,1.2860533538692418,5254.821950008604,68.33733259005845,49.824434215948266,71.69555142870547,-0.22350140437435317
M-2022-7,168,2156,3924,630.3452853757606,0.5591895362537563,4.302811394226828,6.221028577420196,3.4517944098993203,5.076329279084888,-0.009925018980792566
M-2022-7,169,2090,2891,1489.6344712761284,3.212226527136684,58.92427033906532,22897799184.48037,284.2739324197946,31.541146825796986,-0.04481915046706175
M-2022-7,170,1882,3774,13603.84006573301,1.1410717775348647,1413.9918348992237,18.036551337677817,14.710918426288863,28.799857026472214,-0.23633181712199525
M-2022-7,171,6243,7082,5509.429670160268,0.8040004409570177,357.910698988798,7.750389531298796,6.236130319663175,14.70214343984676,-0.031844907619235086
