period,true_class,pred_class,confusion_count,confusion_rate,rank_in_period
M-2022-10,46,13,400,0.034147174321324913,304
M-2022-10,121,71,7,0.03414634146341464,305
M-2022-10,170,117,105,0.034101981162715164,306
M-2022-10,9,122,44,0.03408210689388071,307
M-2022-10,140,153,1318,0.03377408774087741,308
M-2022-10,69,63,41,0.033279220779220776,309
M-2022-10,108,117,185,0.033112582781456956,310
M-2022-10,2,133,166,0.032638615808100666,311
M-2022-10,108,77,182,0.03257562197959549,312
M-2022-10,39,61,141,0.03257103257103257,313
M-2022-10,11,2,65,0.03248375812093953,314
M-2022-10,77,82,895,0.03240053578539623,315
M-2022-10,109,65,59,0.03234649122807018,316
M-2022-10,33,50,4,0.03225806451612903,317
M-2022-10,143,67,139,0.03219082908754053,318
M-2022-10,164,124,72,0.03218596334376397,319
M-2022-10,160,115,77,0.03199002908184462,320
M-2022-10,108,78,178,0.0318596742437802,321
M-2022-10,66,108,134,0.03170847136772362,322
M-2022-10,0,82,52,0.031668696711327646,323
M-2022-10,43,61,65,0.03152279340446169,324
M-2022-10,94,102,11,0.03142857142857143,325
M-2022-10,168,64,130,0.0311601150527325,326
M-2022-10,81,71,114,0.03113903305107894,327
M-2022-10,13,29,50,0.031113876789047916,328
M-2022-10,112,142,53,0.031066822977725676,329
M-2022-10,112,171,53,0.031066822977725676,330
M-2022-10,166,175,94,0.030971993410214168,331
M-2022-10,131,93,812,0.030962821734985702,332
M-2022-10,155,14,306,0.030955993930197268,333
M-2022-10,154,63,97,0.03080342966020959,334
M-2022-10,2,23,156,0.03067243413291388,335
M-2022-10,63,86,372,0.030622324662495884,336
M-2022-10,135,77,91,0.030557421087978508,337
M-2022-10,15,93,29,0.030494216614090432,338
M-2022-10,41,18,73,0.0303156146179402,339
M-2022-10,50,25,94,0.03022508038585209,340
M-2022-10,104,110,72,0.030112923462986198,341
M-2022-10,66,139,127,0.030052058684335067,342
M-2022-10,14,86,300,0.0299790146897172,343
M-2022-10,16,140,72,0.02993762993762994,344
M-2022-10,50,95,93,0.02990353697749196,345
M-2022-10,52,153,66,0.029756537421100092,346
