period,class_id,support,centroid_shift_from_ref,radius,delta_radius_from_ref,nearest_other_class,nearest_centroid_distance,delta_nearest_distance_from_ref,margin,delta_margin_from_ref,top_confusion_partner,top_confusion_partner_rate,confusion_partner_distance,ref_top_confusion_partner,ref_top_confusion_partner_distance,ref_distance_to_current_partner,delta_current_partner_distance_from_ref
M-2022-4,53,9775,0.0,5.533491611480713,0.0,94,5.752041339874268,0.0,0.2185497283935547,0.0,117,0.008184143222506393,7.3676018714904785,117,7.3676018714904785,7.3676018714904785,0.0
M-2022-4,54,6663,0.0,6.307574272155762,0.0,29,3.712200880050659,0.0,-2.5953733921051025,0.0,29,0.0754915203361849,3.712200880050659,29,3.712200880050659,3.712200880050659,0.0
M-2022-4,55,8193,0.0,2.497645616531372,0.0,165,6.456521511077881,0.0,3.958875894546509,0.0,165,0.0008543878921030148,6.456521511077881,165,6.456521511077881,6.456521511077881,0.0
M-2022-4,56,10094,0.0,4.520423889160156,0.0,114,7.276540279388428,0.0,2.7561163902282715,0.0,87,0.021993263324747374,11.77489185333252,87,11.77489185333252,11.77489185333252,0.0
M-2022-4,57,3065,0.0,4.123186111450195,0.0,94,7.122630596160889,0.0,2.9994444847106934,0.0,14,0.0006525285481239804,8.034412384033203,14,8.034412384033203,8.034412384033203,0.0
M-2022-4,58,2286,0.0,3.4619197845458984,0.0,150,6.251821517944336,0.0,2.7899017333984375,0.0,96,0.0026246719160104987,9.609481811523438,96,9.609481811523438,9.609481811523438,0.0
M-2022-4,59,13724,0.0,5.285001277923584,0.0,172,6.536205291748047,0.0,1.251204013824463,0.0,172,0.012095598950743223,6.536205291748047,172,6.536205291748047,6.536205291748047,0.0
M-2022-4,60,49622,0.0,7.689431667327881,0.0,171,3.0638883113861084,0.0,-4.6255433559417725,0.0,61,0.021018902905969125,5.104747295379639,61,5.104747295379639,5.104747295379639,0.0
M-2022-4,61,19676,0.0,8.012054443359375,0.0,86,3.0958809852600098,0.0,-4.916173458099365,0.0,86,0.05737954868875788,3.0958809852600098,86,3.0958809852600098,3.0958809852600098,0.0
M-2022-4,62,15549,0.0,7.058374404907227,0.0,63,6.190113544464111,0.0,-0.8682608604431152,0.0,86,0.012862563508907325,6.243754863739014,86,6.243754863739014,6.243754863739014,0.0
