class,group,reference_support,target_support,accepted_updates,static_f1,best_capspp_f1,delta_f1,static_recall,best_capspp_recall,delta_recall
79,other,25102,7528,1965,0.7017907355335208,0.6854523594830177,-0.016338376050503034,0.6299149840595112,0.6058714133900106,-0.02404357066950058
80,other,6096,1055,69,0.31480241125251174,0.3359804520464264,0.021178040793914665,0.22274881516587677,0.26066350710900477,0.03791469194312799
81,other,7217,2122,1672,0.9364595545134818,0.9265882352941176,-0.009871319219364239,0.9410933081998115,0.9278982092365693,-0.013195098963242224
82,other,79609,27579,5652,0.7796960806439479,0.7584555403827505,-0.02124054026119737,0.7516226114072302,0.6948040175495849,-0.056818593857645316
83,other,24502,19531,9302,0.91312422616591,0.9123249653084395,-0.0007992608574705073,0.9062516000204802,0.925707849060468,0.019456249039987772
84,other,2397,1057,817,0.8721951219512195,0.8675274988043998,-0.004667623146819677,0.8457899716177862,0.8580889309366131,0.012298959318826852
85,other,2080,350,184,0.7124087591240876,0.6856368563685636,-0.02677190275552399,0.6971428571428572,0.7228571428571429,0.02571428571428569
86,other,27759,20232,5721,0.8040145527537322,0.782889854765186,-0.021124697988546215,0.7919137999209174,0.7300316330565441,-0.06188216686437331
87,other,11231,5056,3774,0.9071502786436195,0.9067548417572036,-0.0003954368864159674,0.9497626582278481,0.9491693037974683,-0.0005933544303797778
88,other,204,83,6,0.21052631578947367,0.20175438596491227,-0.008771929824561403,0.5301204819277109,0.5542168674698795,0.02409638554216864
89,other,486,377,175,0.7072599531615925,0.7084708470847084,0.0012108939231159077,0.8010610079575596,0.8541114058355438,0.05305039787798416
90,other,7635,4080,2642,0.8953821473587716,0.8934250592083004,-0.0019570881504712423,0.9575980392156863,0.9708333333333333,0.013235294117647012
91,other,4262,2334,1580,0.8252314814814815,0.811681018345189,-0.01355046313629249,0.916452442159383,0.9288774635818338,0.012425021422450722
92,other,2288,896,644,0.8409090909090909,0.8238702201622248,-0.017038870746866164,0.7845982142857143,0.7935267857142857,0.008928571428571397
93,other,34812,18804,9598,0.7622616498419497,0.7626001687051877,0.00033851886323799096,0.7950967879174644,0.769251223144012,-0.025845564773452456
94,stable,633,760,265,0.6138032305433186,0.6353591160220995,0.021555885478780845,0.55,0.6052631578947368,0.05526315789473679
95,other,50223,3282,2965,0.9211843799170362,0.9037493005036373,-0.017435079413398835,0.9811090798293723,0.9841560024375381,0.0030469226081657474
96,other,55119,44573,20364,0.692832374347445,0.7113845096016895,0.018552135254244484,0.6118726583357638,0.6499225988827317,0.038049940546967975
97,other,41580,18214,9647,0.7774216721003481,0.7692595762893216,-0.008162095811026449,0.7724278027890633,0.7894476776106292,0.01701987482156586
98,stable,63298,48912,46696,0.9950280312640668,0.9947193708186507,-0.00030866044541610904,0.9942549885508669,0.9955430160287864,0.0012880274779194512
99,stable,23955,18452,14355,0.8910004668662291,0.8789626140393622,-0.01203785282686698,0.8791458920442229,0.8797962280511598,0.0006503360069368691
100,other,30504,17278,8472,0.7223809246196,0.7114014251781473,-0.010979499441452711,0.7171547632827874,0.6933672878805417,-0.023787475402245684
101,other,60629,42403,9204,0.7117749402848633,0.8063565679989088,0.09458162771404544,0.5692285923165814,0.6970497370469071,0.1278211447303257
102,other,79891,35717,25052,0.8913159504810008,0.8807650061381405,-0.010550944342860302,0.9585071534563373,0.9541394853991096,-0.004367668057227658
103,other,1787,1446,345,0.43172147001934236,0.5346286430586024,0.10290717303926,0.38589211618257263,0.5899031811894883,0.20401106500691563
