period,true_class,pred_class,confusion_count,confusion_rate,rank_in_period
M-2022-11,50,129,41,0.02851182197496523,422
M-2022-11,10,61,58,0.02845927379784102,423
M-2022-11,24,52,97,0.028437408384637937,424
M-2022-11,5,151,63,0.028314606741573035,425
M-2022-11,158,142,310,0.028003613369467027,426
M-2022-11,88,63,13,0.02795698924731183,427
M-2022-11,43,153,82,0.027929155313351498,428
M-2022-11,67,77,70,0.027910685805422646,429
M-2022-11,111,77,63,0.027716673999120107,430
M-2022-11,96,97,1757,0.027695896845788867,431
M-2022-11,2,23,213,0.02762645914396887,432
M-2022-11,135,70,76,0.027586206896551724,433
M-2022-11,22,17,31,0.027555555555555555,434
M-2022-11,46,133,334,0.027507824081699883,435
M-2022-11,14,86,335,0.027454515653171613,436
M-2022-11,21,142,112,0.027297099683158663,437
M-2022-11,92,3,40,0.027266530334014997,438
M-2022-11,67,29,68,0.02711323763955343,439
M-2022-11,167,96,2,0.02702702702702703,440
M-2022-11,13,159,62,0.02701525054466231,441
M-2022-11,10,93,55,0.026987242394504417,442
M-2022-11,5,177,60,0.02696629213483146,443
M-2022-11,150,90,41,0.026938239159001315,444
M-2022-11,43,86,79,0.02690735694822888,445
M-2022-11,12,93,63,0.026888604353393086,446
M-2022-11,160,157,52,0.026817947395564725,447
M-2022-11,26,155,44,0.02671523982999393,448
M-2022-11,63,86,383,0.02666945198802312,449
M-2022-11,41,18,73,0.026584122359796066,450
M-2022-11,111,129,60,0.026396832380114386,451
M-2022-11,176,46,101,0.026350117401513176,452
M-2022-11,112,46,50,0.02631578947368421,453
M-2022-11,71,82,1680,0.026198421856969092,454
M-2022-11,135,77,72,0.026134301270417423,455
M-2022-11,104,153,71,0.0261125413755057,456
M-2022-11,26,49,43,0.026108075288403157,457
M-2022-11,94,53,15,0.02608695652173913,458
M-2022-11,10,132,53,0.026005888125613347,459
M-2022-11,40,82,27,0.025961538461538463,460
M-2022-11,166,175,59,0.025911286780852,461
M-2022-11,41,170,71,0.025855790240349598,462
M-2022-11,130,65,183,0.025792811839323467,463
M-2022-11,112,49,49,0.025789473684210525,464
M-2022-11,50,117,37,0.02573018080667594,465
M-2022-11,108,116,159,0.02557915057915058,466
M-2022-11,86,62,1304,0.025549590501195187,467
M-2022-11,11,61,78,0.02553191489361702,468
M-2022-11,101,100,1544,0.025485697307825628,469
M-2022-11,129,124,899,0.025454442493912453,470
M-2022-11,78,175,432,0.02545368842799906,471
M-2022-11,139,86,57,0.025310834813499113,472
M-2022-11,72,77,248,0.02528805954930152,473
M-2022-11,174,71,82,0.02523853493382579,474
M-2022-11,135,136,69,0.025045372050816698,475
