period,class_id,support,ref_support,size_sum_w1,direction_front_0_9_sum_w1,ipt_tail_20_29_sum_w1,total_norm_w1,total_norm_w1_std_floor_1,total_log_w1,delta_f1_from_ref
M-2022-5,5,2200,2093,6045.827626938274,0.26800547278808157,71.05064522434093,4.3139987110313065,3.7616718019523545,5.489871040015684,-0.05174770948400442
M-2022-5,6,2812,2729,2668.3780569010823,0.03718112241573672,17.44196963544727,3.4645522993955806,2.907888471852817,2.026736264938367,-0.047705943691345065
M-2022-5,8,2060,1574,2747.315625269881,0.38728735150072147,700.0351698103898,7.247187627652066,6.120046740219349,17.174947240387304,-0.009487802021663994
M-2022-5,9,1824,1547,5401.407998573931,0.2562801942639403,79.13754833917363,3.5719366328171858,3.1036634717380407,6.806820100956337,0.0010919068767503148
M-2022-5,10,2341,2020,2977.588453144761,0.29607978311714134,5.022343840535214,3.005306011366399,2.4987425501449065,2.8861344634749737,-0.010693889867714801
M-2022-5,11,2013,1685,4429.30906702872,0.6445531345954558,211.4031999716974,6.026283012906812,4.922910613887895,7.729711400313013,-0.020989411413287473
M-2022-5,12,3428,2788,2580.1827037528637,0.20103661466294104,76.61781823752061,4.579940702312738,3.8017978768615825,7.719629647021595,0.0025777803861483095
M-2022-5,13,2703,2093,2477.517398251032,0.31300413141845373,52.364302444647954,155.40280527357962,37.6337047673079,4.917974226863124,0.03873380690029693
M-2022-5,14,10444,10401,2795.164239540188,0.32523758781848244,26.357372070512497,2.074478635191252,1.7365065129666668,2.8384232841060415,-0.04299459478791401
M-2022-5,15,1474,751,3821.4106031397287,1.853713818030053,92.88996850874547,14.687413982808446,12.953876521132717,26.358743349017434,-0.10723628634701121
M-2022-5,16,1958,2008,7641.136947612984,0.6174200033370094,195.0113514277924,6.301899748181743,5.555896053562299,11.303241753562395,-0.04167549484438199
M-2022-5,17,9201,10007,1219.2966189833728,0.5920466368032109,31.62511949710406,3.8158374644985233,2.901707681105811,6.843486683261621,-0.013660043950164513
M-2022-5,18,27154,21926,1570.6831346764425,0.4364005428720445,233.3529631844144,4.297586653163269,3.8651735686563025,7.706434739621928,0.006759167567836233
M-2022-5,19,19072,13185,1862.9585393784776,0.6490562597508864,429.8401471389659,5.473250146698957,4.417550762656616,10.335286678641584,0.010474631436368842
M-2022-5,20,2201,1281,2858.426339812177,0.8013159159433954,26.706059732269836,8.025267183867163,7.222187609097982,5.285024591406168,0.028471066644117693
M-2022-5,21,2853,2620,6606.0831366741295,0.2894027446667893,690.6245854771862,6.188470612819462,4.933172402413241,10.129388653834246,0.021354710972444457
M-2022-5,22,648,4636,13117.393848730824,0.8439613758135468,448.9982397554299,21.860698309356113,17.613120827540584,32.42757755189458,-0.16905691955707414
M-2022-5,23,15639,12840,1544.7746846638613,0.3222902783778631,27.306934795768555,2.989811180778204,2.3646742551989277,4.512338959442128,0.008541067105604427
M-2022-5,24,9752,10253,783.0618594033342,0.08554050128148329,5.301625219117985,1.4324292698872827,1.137811447664792,1.148308733476448,-0.005895088157511719
M-2022-5,25,63996,54557,918.1793149382514,0.08340411751521248,97.25444483521463,1.454408108734605,1.2127887368417714,3.0296266286273004,0.009470613237953729
M-2022-5,26,2539,2293,8271.742256644591,0.6181944569212221,37.375662903365246,4.485301661458615,3.767427047369019,6.220651740871603,-0.023068369471000216
M-2022-5,27,19743,19386,195.3473372859923,1.1725625463310003,514.9788762619154,13.532583882544085,10.32509544062654,22.071323813034176,-0.0033252193246802175
M-2022-5,28,21533,16366,1146.4582679394164,0.43304297626521415,64.29579170205145,3.446928597250094,2.7764920330628624,4.410849649959147,-0.0007536176135204409
