method,period,class_id,groups,support,precision,recall,f1
bn_static,M-2022-10,35,,2194,0.9890547263681592,0.9061075660893345,0.9457659372026641
bn_static,M-2022-10,36,degraded_noncollapsed,2648,0.9443272880641079,0.8455438066465257,0.8922096035066747
bn_static,M-2022-10,37,,1115,0.968503937007874,0.3309417040358744,0.49331550802139035
bn_static,M-2022-10,38,final_collapsed;abrupt_collapsed,92,0.20491803278688525,0.2717391304347826,0.2336448598130841
bn_static,M-2022-10,39,,4329,0.8053910557484174,0.911064911064911,0.8549750704530674
bn_static,M-2022-10,40,degraded_noncollapsed,981,0.9946428571428572,0.5677879714576962,0.7229072031148605
bn_static,M-2022-10,41,,2408,0.7363367799113737,0.41403654485049834,0.5300372142477405
bn_static,M-2022-10,42,degraded_noncollapsed,2235,0.7333333333333333,0.05413870246085011,0.10083333333333333
bn_static,M-2022-10,43,,2062,0.785829307568438,0.47332686711930166,0.5907990314769975
bn_static,M-2022-10,44,stable,1081,0.9923298178331735,0.9574468085106383,0.9745762711864406
bn_static,M-2022-10,45,absorber,1536,0.5743380855397149,0.55078125,0.5623130608175474
bn_static,M-2022-10,46,absorber,11714,0.7489888175113014,0.5374765238176541,0.625844930417495
bn_static,M-2022-10,47,final_collapsed;gradual_collapsed,34,0.0,0.0,0.0
bn_static,M-2022-10,48,final_collapsed;abrupt_collapsed,2986,0.0,0.0,0.0
bn_static,M-2022-10,49,,42912,0.8969725096229969,0.7656832587621178,0.8261443495970733
bn_static,M-2022-10,50,degraded_noncollapsed,3110,0.07703851925962982,0.049517684887459806,0.06028577020943433
bn_static,M-2022-10,51,,16876,0.6672710041616877,0.9595875799952596,0.7871673350346337
bn_static,M-2022-10,52,,2218,0.544146246596655,0.6307484220018035,0.5842555857172688
bn_static,M-2022-10,53,,11906,0.8873977086743045,0.9108012766672267,0.8989471938986985
bn_static,M-2022-10,54,degraded_noncollapsed,6595,0.7772020725388601,0.11372251705837756,0.1984126984126984
bn_static,M-2022-10,55,degraded_noncollapsed,5643,1.0,0.7276271486797803,0.8423428043901938
bn_static,M-2022-10,56,final_collapsed;abrupt_collapsed,10706,0.13636363636363635,0.0005604334018307491,0.0011162790697674418
bn_static,M-2022-10,57,stable,2065,0.9039473684210526,0.9980629539951574,0.9486766398158804
bn_static,M-2022-10,58,,2316,0.9995674740484429,0.9978411053540587,0.9987035436473639
bn_static,M-2022-10,59,stable,8856,0.9679894759921069,0.9970641373080398,0.9823117143174992
bn_static,M-2022-10,60,,59907,0.8707840283490477,0.9188241774750864,0.8941593092861378
bn_static,M-2022-10,61,,22920,0.7149720110284903,0.7467277486910995,0.7305049297878697
bn_static,M-2022-10,62,stable,24087,0.9608204269568857,0.9529621787686304,0.9568751693519811
bn_static,M-2022-10,63,,12148,0.762449846589568,0.5318570958182417,0.626612355736592
bn_static,M-2022-10,64,stable,4110,0.8838300220750552,0.7793187347931874,0.8282906645978795
bn_static,M-2022-10,65,,3253,0.9771341463414634,0.9852443897940363,0.9811725088014694
bn_static,M-2022-10,66,final_collapsed;abrupt_collapsed,4226,0.7450433705080545,0.5690960719356365,0.6452911188623558
bn_static,M-2022-10,67,,4304,0.37364864864864866,0.2569702602230483,0.30451541850220265
bn_static,M-2022-10,68,,3689,0.6375366568914956,0.8839793982108972,0.7407996365288505
bn_static,M-2022-10,69,final_collapsed;abrupt_collapsed,1232,0.0,0.0,0.0
bn_static,M-2022-10,70,degraded_noncollapsed,1735,0.845691382765531,0.24322766570605187,0.37779767233661593
bn_static,M-2022-10,71,absorber,63797,0.7139044722154468,0.7799269558129692,0.7454567246468006
bn_static,M-2022-10,72,,10327,0.41081081081081083,0.5813885930086182,0.48143693368615187
bn_static,M-2022-10,73,,13787,0.9783190809363393,0.8214985130920432,0.8930768017662829
bn_static,M-2022-10,74,,3353,0.4691394658753709,0.47151804354309573,0.47032574743418115
bn_static,M-2022-10,75,degraded_noncollapsed,11581,0.5864022662889519,0.4111043951299542,0.4833502538071066
bn_static,M-2022-10,76,stable,4405,0.9422885572139303,0.8599318955732123,0.8992284866468843
bn_static,M-2022-10,77,,27623,0.7426389960605938,0.6619845780690005,0.6999961719557478
bn_static,M-2022-10,78,,16173,0.8273948197889543,0.7466147282507883,0.7849319075632983
bn_static,M-2022-10,79,,12335,0.8383879503358437,0.6678556951763275,0.7434682550426425
bn_static,M-2022-10,80,degraded_noncollapsed,1260,0.597911227154047,0.18174603174603174,0.2787583688374924
bn_static,M-2022-10,81,,3661,0.8936918823825082,0.97131931166348,0.930890052356021
bn_static,M-2022-10,82,,35248,0.7386548410938655,0.8506014525646846,0.7906854083704739
bn_static,M-2022-10,83,,32633,0.8707073548024188,0.9486715901081727,0.9080190062767642
bn_static,M-2022-10,84,,1777,0.9145702306079665,0.9819921215531795,0.9470827679782904
